outcome,wording,b_out,p_out,b_out_net_addr,p_out_net_addr,b_out_net_inten,p_out_net_inten,b_inten_net_out,p_inten_net_out,q_out,q_out_net_addr,q_out_net_inten,q_inten_net_out
Q1,Please imagine a ladder with steps numbered ,-0.2729342933523762,0.0049209128015636015,-0.2729342933523762,0.0049209128015636015,-0.08962086140132208,0.48207941772514634,-0.1969486889915358,0.052804167877562765,0.03690684601172701,0.03690684601172701,0.8827962263594958,0.19801562954086038
Q2,On which step do you think you will stand ab,-0.202923978656393,0.01361407175714138,-0.202923978656393,0.01361407175714138,-0.12504676049898647,0.3421481554897792,-0.08359588084786126,0.4518323197131455,0.08751903272448029,0.08751903272448029,0.8827962263594958,0.6161349814270166
Q3,Which one of these phrases comes closest to ,0.22895736557143218,0.04664379451544142,0.22895736557143218,0.04664379451544142,-0.07543870669595584,0.5244081667869441,0.32647700108264976,0.002242658055705022,0.2069156652700309,0.2069156652700309,0.8827962263594958,0.05045980625336299
Q10,How often do you attend events in your commu,-0.18334384544251553,0.024408422426121266,-0.18334384544251553,0.024408422426121266,-0.28003419424701426,0.042485041166605286,0.10379257358505897,0.27793487868620537,0.12204211213060633,0.12204211213060633,0.3823653704994476,0.5685031609490564
Q14B,A member of your local community,-0.13221451049104954,0.002450444759259696,-0.13221451049104954,0.002450444759259696,-0.2746565224715249,0.007496482355195817,0.15296948974437635,0.05077431268987338,0.022054002833337263,0.022054002833337263,0.24048757668430018,0.19801562954086038
Q18A,Religious or faith leaders,-0.19640650713986224,0.023036271647351596,-0.19640650713986224,0.023036271647351596,-0.24450807082617582,0.011990108773013779,0.05163117548410557,0.5639214374513524,0.12204211213060633,0.12204211213060633,0.24048757668430018,0.690529773557849
Q18D,Education officials,0.00014972204323321706,0.9982982536432055,0.00014972204323321706,0.9982982536432055,0.06647158865807186,0.5599138603197994,-0.07119538330780158,0.3935529016341619,0.9982982536432055,0.9982982536432055,0.8827962263594958,0.6161349814270166
Q21,"On average, how much time PER DAY do you spe",0.17569810220622994,0.05359700417646837,0.17569810220622994,0.05359700417646837,0.03137214016464436,0.7601442710439316,0.15535652672134886,0.08019211669920995,0.2069156652700309,0.2069156652700309,0.9001708472888663,0.2577603751046034
Q22,The experiences and beliefs of people like m,-0.25943029722591493,0.001940404618136305,-0.25943029722591493,0.001940404618136305,-0.22933385969216669,0.0783673975540505,-0.032323556369833514,0.7789242739834388,0.022054002833337263,0.022054002833337263,0.3918369877702525,0.7863322788882652
Q23,How much power do ordinary citizens have to ,-0.03871281189826592,0.6735978290886008,-0.03871281189826592,0.6735978290886008,-0.09880653541980179,0.5109102409952078,0.06458005483300384,0.5831140310044057,0.8915265384996187,0.8915265384996187,0.8827962263594958,0.690529773557849
