guest_name,guest_key,show_context,query,search_result_summary,resolution_decision
Jack Davies,davies|jack|jack,Jacobin Radio,Jack Davies UC Santa Cruz UAW 2865 union organizer,"UCSC UAW Local 2865 unit chair / History of Consciousness PhD student, not a public official.","unresolvable: none of 12 same-name donor records match (occupations: vineyard, psychologist, rancher, AOL exec, etc.) -- dropped"
Johnathan Guy,guy|johnathan|johnathan,Jacobin Radio,Johnathan Guy UC Berkeley academic worker union,UC Berkeley political science researcher (comparative climate politics).,"unresolvable: 2 same-name donor records both 'not employed', can't distinguish or confirm either is him -- dropped"
Bill Burns,burns|william|bill,Pod Save the World,"William ""Bill"" Burns former Deputy Secretary of State CIA",Career diplomat; Deputy Secretary of State 2011-14; CIA Director 2021-25. Never ran for office.,unresolvable: 4 recipient candidates are IL/RI/AL state-local legislators (different people); no occupation match in 6 donor records either -- dropped
Matt Stoller,stoller|matthew|matt,Breaking Points with Krystal and Saagar,Matt Stoller antitrust policy writer BIG newsletter,"Director of Research, American Economic Liberties Project (AELP); writes BIG newsletter.","RESOLVED: 2 donor records list employer='aelp' (cfscore -1.153, -0.843) -- averaged"
Alex Marlow,marlow|alexander|alex,The Benny Show,Alex Marlow Breitbart editor in chief,"Editor-in-chief, Breitbart News.",RESOLVED: 2 same-name donor records score identically (1.659) regardless of which is him -- no identity ambiguity in outcome
Billy Bush,bush|william|billy,The Benny Show,Billy Bush media personality Access Hollywood,"NBC Access Hollywood/Today host, Bush family (GWB's cousin), no elected office.","unresolvable: 3 recipient candidates are a Delaware state legislator (William G. Bush IV, different person); no media-occupation donor match -- dropped"
Christopher Bedford,bedford|christopher|christopher,Federalist Radio Hour,Christopher Bedford Common Sense Society Executive Editor Federalist,"Executive editor, Common Sense Society; ex-Federalist senior editor, ex-Daily Caller EIC.","unresolvable: none of 16 same-name donor records show media/editor occupation (sales, software eng, janitor, insurance, etc.) -- dropped"
Joseph Campbell,campbell|joseph|joseph,Lectures in History,Joseph Campbell American University professor 1990s history,"W. Joseph Campbell, professor, American University School of Communication.",unresolvable: 6 recipient candidates are MD/NM/KY/GA/OH local-state politicians; no AU-professor donor match -- dropped
Matthew Desmond,desmond|matthew|matthew,On the Media,Matthew Desmond sociologist Eviction Lab Princeton founder,"Professor of Sociology, Princeton; founder of the Eviction Lab.",unresolvable: none of 11 same-name donor records show professor/Princeton/sociology occupation -- dropped
Tom Jones,jones|thomas|tom,The Political Orphanage,Tom Jones astronaut NASA space shuttle,"Thomas D. Jones, retired NASA astronaut, 4 shuttle missions.",unresolvable: 18 recipient candidates are all state/local political candidates nationwide; astronaut never ran for office -- dropped
Steven Mulroy,mulroy|steven|steven,The MeidasTouch Podcast,Steven Mulroy Shelby County District Attorney Democratic candidate,"District Attorney, Shelby County TN (Memphis); ex-University of Memphis law professor.","unresolvable: 3 same-name donor records show finance/consulting occupations, no DA/law-professor match; DIME doesn't appear to cover this county race -- dropped"
Abbe Lowell,lowell|abbe|abbe,The Briefing with Jen Psaki,Abbe Lowell attorney Letitia James Trump,"Prominent DC defense attorney (Hunter Biden, Letitia James, Jared Kushner, Bob Menendez).",RESOLVED: donor record 'attorney / Chadbourne & Parke LLP' (cfscore -1.02) -- major DC law firm consistent with his career
Eddie Scarry,scarry|edward|eddie,Federalist Radio Hour,Eddie Scarry journalist Washington Examiner,"Politics/media reporter and columnist, Washington Examiner and The Federalist.",RESOLVED (moderate confidence): donor record 'ed / writer / self employed' (cfscore -1.022) -- only writer-occupation match of 2 candidates
Bernie Sanders,sanders|bernie|bernie,Face the Nation with Margaret Brennan,Bernie Sanders Senator Vermont,"US Senator (I-VT); confirmed his actual DIME record is filed under legal name 'Bernard' (ffname token exactly 'bernard', no 'bernie' variant present) -- the two 'sanders, bernie'/'edward bernie' candidates in the auto-matched pool are unrelated PA state legislators.","RESOLVED via direct verified lookup bypassing name-match: bonica.cid=2494766602, VT federal:senate, cfscore=-1.141 (2006 cycle, most recent on file)"
Brian Wilson,wilson|brian|brian,The Political Orphanage,Brian Wilson Political Orphanage classicist podcast,Show descriptor ('Classicist and lauded madman') doesn't clearly identify a specific public figure.,"unresolvable: 5 same-name candidates (IL local pol, OR state, State Dept employee, EWTN video editor, other) -- none matches a 'classicist' -- dropped"
Bonnie Dunbar,dunbar|bonnie|bonnie,The Fox News Rundown,Bonnie Dunbar retired NASA astronaut Challenger,"Retired NASA astronaut (5 shuttle missions); later President/CEO Museum of Flight Seattle, then led a Texas A&M engineering institute.",RESOLVED: donor records 'executive/museum of flight' (1.015) and 'professor of engineering/texas am university' (1.659) both match her career stages -- averaged
Ben Tarnoff,tarnoff|benjamin|ben,The Nation Podcasts,Ben Tarnoff author journalist tech internet history,"Tech writer/journalist, co-founder of Logic Magazine; wrote for Lapham's Quarterly, Jacobin, NYT, Guardian.","RESOLVED: donor record 'editor/laphams quarterly' (-1.108) plus 2 more writer-occupation records (-1.075, -1.114) all consistent -- averaged the 3"
Brenda Shaughnessy,shaughnessy|brenda|brenda,The New Yorker Radio Hour,Brenda Shaughnessy poet,"Professor of English and Creative Writing, Rutgers University-Newark; poet.",RESOLVED: donor record 'professor/rutgers university' (cfscore -0.925) is an exact occupation+employer match
Rep. Robert Garcia,garcia|robert|robert,All In with Chris Hayes,Robert Garcia Representative California Long Beach congressman,"US Representative, CA-42 (Long Beach); Democrat; ex-mayor of Long Beach.",RESOLVED: recipient record CA/federal:house/party=Dem (cfscore -0.726) matches exactly
Sen. Chris Murphy,murphy|christopher|chris,All In with Chris Hayes,Chris Murphy Senator Connecticut,"US Senator, Connecticut; Democrat.","RESOLVED: recipient record 'murphy, christopher s'/CT/federal:senate/party=Dem (cfscore -1.006) matches exactly"
Sam Seder,seder|samuel|sam,All In with Chris Hayes,Sam Seder Majority Report host,"Progressive political commentator, host of The Majority Report podcast.","RESOLVED (moderate confidence): donor record 'director/self' (cfscore -1.041, strongly liberal) consistent with self-employed progressive media host"
Steve Inskeep,inskeep|steven|steve,Fast Politics with Molly Jong-Fast,Steve Inskeep NPR journalist Morning Edition,NPR Morning Edition host/journalist.,"unresolvable: none of 3 same-name donor records show journalist/NPR occupation (retired, not employed) -- dropped"
David Myers,myers|david|david,The Nation Podcasts,David Myers professor Jewish history UCLA,"Distinguished Professor of History, UCLA; Jewish history/historiography.",unresolvable: 4 recipient candidates are MS/OK/SC/PA local-state politicians (different people); no academic-occupation donor match among ~90 -- dropped
Claudia Rowe,rowe|claudia|claudia,Week In Review,Claudia Rowe Seattle Times reporter,"Journalist, The Seattle Times; also NYT, Mother Jones, HuffPost.","unresolvable: none of 4 same-name donor records show journalist/Seattle Times occupation (retired, training coordinator) -- dropped"
Cat Smith,smith|cat|cat,Week In Review,"""Cat Smith"" KUOW Seattle Washington state representative Tacoma","Catharine 'Cat' Smith, politics editor at KUOW (Seattle NPR affiliate).","unresolvable: none of 9 same-name donor records show editor/KUOW/journalist occupation (banker, REI, not employed) -- dropped"
