var,label,n,b_podonly,p_podonly,b_podplus,p_podplus,b_platonly,p_platonly,q_podonly,q_podplus,q_platonly
Q1,Please imagine a ladder with steps numbered from zero at the bot,18377,-0.13423207222974687,0.0022110321309110397,-0.0020325117606536094,0.9568262197427103,-0.10373677832524703,0.00010631676701419923,0.006201675489140721,0.9737611970832892,0.0004970016426318188
Q2,On which step do you think you will stand about five years from ,18359,-0.03273347862168972,0.42414219048925883,-0.04618333503186223,0.24149056999168672,-0.07518296135664543,0.0034207947321471086,0.5480488978231997,0.4144987395379698,0.008195654045769114
Q3,Which one of these phrases comes closest to your own feelings ab,18591,0.04233423485925952,0.29722282989676374,0.031127892366173394,0.39896728463253217,0.0946821046107992,0.0002548656785952719,0.412592571065883,0.5672166749582941,0.0010106742427053886
Q4,How often do you feel lonely?,18568,0.08271790126538321,0.051941261225220546,0.019868261874660197,0.6344102721687588,-0.04026413026091838,0.11870787022951078,0.10666509001607791,0.7780582363985412,0.1772909750181005
Q5,About how many hours of free time do you have on a typical weekd,18133,-0.039261705188374026,0.411962976546806,-0.10081073720614045,0.019454971275049488,-0.0010334410723305066,0.9689366919566291,0.5383607079873033,0.0721716676332481,0.9689366919566291
Q6,About how many hours of free time do you have on a typical weeke,18171,0.008783130785866667,0.8617647828636135,0.03852643521461873,0.36178377612125456,-0.036380550441235386,0.20207285206519177,0.9092013764157391,0.5672166749582941,0.26777207720791124
Q7,"In the past week, on how many days did you have any difficulty t",10429,0.0352154125626544,0.5562031237355908,0.04227019336170413,0.4704211704055067,0.13345779831189558,0.00011219029825805171,0.6732985182062414,0.6364521717250973,0.0004970016426318188
Q8,How often do you feel overloaded by information?,18551,0.0059859751103107164,0.8966782263423037,-0.07393665078673453,0.08168176746096807,-0.04017974144889498,0.11779579590493933,0.9289909552195038,0.19170210730635365,0.1772909750181005
Q9A,Housing,18585,-0.04597143838553746,0.30495972644000047,-0.01977953072924855,0.6266362765793831,-0.10195241993230869,0.00016941485439908992,0.412592571065883,0.7780582363985412,0.0006958110091391193
Q9B,Healthcare,18576,-0.0660316633818978,0.17769370526492245,-0.03825236937803628,0.37774666790283884,-0.06321993681716122,0.02511136035177176,0.276145623046839,0.5672166749582941,0.04512197563208988
Q9C,Food,18585,-0.06337930310352959,0.18659692170577402,-0.053492964813914454,0.17243958845204854,-0.11001310533143148,6.207719997987211e-05,0.2861152799488535,0.33050921119975973,0.0003244944544402406
Q9D,Schools,18504,0.001778564557049677,0.9699304085304936,-0.04888994907144384,0.25605132418222776,-0.021468676339406845,0.43059827947584195,0.9870973184159891,0.433027974719944,0.510503114842493
Q9E,Childcare,18464,0.10916533638745089,0.021967634758974012,0.03972442540749537,0.3651203115490814,-0.00930504561749395,0.7322933608413223,0.05268919486349982,0.5672166749582941,0.779756819414371
Q10,"How often do you attend events in your community, such as festiv",18574,-0.1040883555626752,0.024993742997386964,-0.021548331361107603,0.5906096591330992,-0.10467539404810741,7.350310188403645e-05,0.057561522278138176,0.7780582363985412,0.0003675155094201822
Q11,How often do you see people in your community showing disrespect,18378,-0.21996071130996678,5.187212572334415e-06,-0.03542611292370612,0.3929959086730722,-0.034224458739060666,0.20257539753989806,2.8916061701664623e-05,0.5672166749582941,0.26777207720791124
Q12A,Your physical or mental health,18543,0.10580428748597619,0.013741376883768803,0.07511950342019064,0.05635906465637445,-0.07459800690810088,0.004943981790510707,0.03477609294332674,0.14703957275190002,0.011148194233504537
Q12B,Your work or family obligations,18546,-0.0037886241664017717,0.9370786378610786,-0.10201934251277134,0.013696793503844073,-0.036037777482025475,0.18304814270079695,0.9621789585180718,0.05833819455340994,0.2542824042217085
Q12C,You fear judgment or retaliation from others,18535,0.14341852425578488,0.0010192396211091666,0.07007721724951817,0.08947327158938036,-0.0028876803134079386,0.9170327597379383,0.002930313910688854,0.2017534555446812,0.9332634280518841
Q12D,You are unsure how to get involved,18544,0.058541915032414016,0.20453312122303746,-0.0372353526385718,0.3812262546860796,-0.036579185315020676,0.17602818067084025,0.30547154468375726,0.5672166749582941,0.24991655280427935
Q12E,You don't believe it will make a difference,18528,0.07042407895755877,0.12936636620687245,0.06801088742211239,0.10316546979715105,-0.061632786743762186,0.02894083546525918,0.22204674796701987,0.21970424123467353,0.04967456833589263
Q12F,Not knowing enough about the issues,18525,0.06349548551414716,0.170231032947191,0.059365492004302904,0.1451488066274601,-0.095151943017692,0.0004287828565622428,0.26817217519078035,0.29284408354663,0.0015049259491575358
Q12G,You have not been invited or encouraged to participate,18541,0.10559051495515306,0.025026748816581814,0.012045706619074833,0.7783316221993729,-0.061372564897996834,0.026276547390893305,0.057561522278138176,0.8946138862124166,0.04648927615311893
