var,label,b_corpus,p_corpus,b_out,p_out,b_pooled,p_pooled,n,q_pooled,same_sign
Q1,Please imagine a ladder with steps numbered from zer,-0.09136496988948956,0.04777507437978907,-0.2018462259535437,0.015403317854934344,-0.12025205590445626,0.0002444657001132039,770,0.0026076341345408417,True
Q2,On which step do you think you will stand about five,-0.08385616358030905,0.3388342589765243,-0.23687480858786314,3.3255173643007467e-06,-0.12188872099835736,0.049211099215619836,765,0.14648885347905438,True
Q3,Which one of these phrases comes closest to your own,0.04920392169430813,0.30271848121623124,0.30097702178053226,0.0016947800417968053,0.11375806384233547,0.011099898196057825,775,0.04899265410673798,True
Q4,How often do you feel lonely?,-0.005936244705395624,0.9149647670468335,0.1052202257798007,0.033292967476365155,0.02446424867664604,0.5672238406495143,773,0.6913160223074262,False
Q5,About how many hours of free time do you have on a t,0.08990362402029235,0.046909603225537805,-0.03656299384634708,0.5506768299851343,0.05309057607231732,0.1918109089095249,755,0.33178103162728634,False
Q6,About how many hours of free time do you have on a t,0.026081193862176694,0.5647281249425316,-0.057420144064783414,0.08020700733002399,-0.01186557971301274,0.7341970992962736,767,0.8171932931297654,False
Q8,How often do you feel overloaded by information?,-0.012986711595887546,0.8729689956942911,-0.02621568118101592,0.5324837669531705,-0.008094023590742717,0.8838368168886437,774,0.9161864929816572,True
Q9A,Housing,0.0837752549944712,0.19319190554847765,-0.14476027670867023,0.04640262114533682,0.013542279468231742,0.8320337702977842,774,0.8949606941018183,False
Q9B,Healthcare,-0.044603027035636116,0.4640628161072212,-0.12421206410646381,0.1304695257600174,-0.0696646703056882,0.1697229272633608,775,0.30955255780235436,True
Q9C,Food,-0.10579831406525797,0.11972300482095491,-0.14467606363021235,9.21557670878219e-06,-0.10117609749416208,0.03391819622013231,775,0.11425076621518253,True
Q9D,Schools,0.0058327140262214305,0.9132247050738362,0.07447190110933319,0.11006209785555696,0.027137472628662642,0.49188808186159405,772,0.6558507758154587,True
Q9E,Childcare,-0.06963345387013917,0.12509627090375997,0.13359953100602104,0.0013189986900443219,-0.025753891810145813,0.5431128259730497,770,0.6863246377671205,False
