var,label,n,b,p,q
Q1,Please imagine a ladder with steps numbered from zero at t,520,-0.06097931932265663,0.22172505226160155,0.5543126306540038
Q2,On which step do you think you will stand about five years,514,-0.04959034725471198,0.5616521382317134,0.7844683710058941
Q3,Which one of these phrases comes closest to your own feeli,525,0.045814881626109805,0.2985231680743845,0.6095737966622532
Q4,How often do you feel lonely?,524,-0.019089493303137424,0.7058612954216725,0.8571199167030531
Q5,About how many hours of free time do you have on a typical,510,0.07895125098347926,0.06952005625899141,0.3116416315058235
Q6,About how many hours of free time do you have on a typical,518,0.020419406274711463,0.6176736313000841,0.8193629802960299
Q8,How often do you feel overloaded by information?,523,-0.020483543421626046,0.7819979828161782,0.8662609077749717
Q9A,Housing,523,0.09013656887331027,0.10303899434463286,0.3525018227579545
Q9B,Healthcare,524,-0.0021454018529746995,0.9730043301659638,0.9876633843539652
Q9C,Food,524,-0.06838112474027733,0.3105872200354278,0.6095737966622532
Q9D,Schools,522,0.0010925124153194632,0.9824296252139944,0.9876633843539652
Q9E,Childcare,522,-0.06841055098706486,0.109656051722828,0.356382168099191
Q10,"How often do you attend events in your community, such as ",524,-0.04666116469340405,0.36515233405795744,0.6502712798292393
Q11,How often do you see people in your community showing disr,520,0.021957997431228116,0.743887397812466,0.8571199167030531
Q12A,Your physical or mental health,525,-0.011214795398375062,0.7779544741727007,0.8662609077749717
Q12B,Your work or family obligations,521,0.07166251432572032,0.22927790249204572,0.5623797608295461
Q12C,You fear judgment or retaliation from others,524,-0.026183406028627454,0.5786377406937269,0.7844683710058941
Q12D,You are unsure how to get involved,523,-0.05686787285700604,0.2839001825732824,0.5987047240589027
Q12E,You don't believe it will make a difference,525,0.0424704577616313,0.5792997201274295,0.7844683710058941
Q12F,Not knowing enough about the issues,523,-0.05136361595610546,0.1907539127630734,0.4959601731839908
Q12G,You have not been invited or encouraged to participate,523,0.052306809792774744,0.36044127988940444,0.6502712798292393
Q12H,Feeling unwelcome or out of place when participating,524,-0.043091667498076906,0.3769804751682615,0.6622629969172161
Q12I,You have no desire to get involved,523,-0.10338517303272597,0.04700455266580537,0.22102229615856853
Q13,"In the past 12 months, have you volunteered or actively pa",525,0.06213834021064997,0.2822015608850005,0.5987047240589027
Q14A,An American,524,0.018529241488056285,0.7862983624418973,0.8662609077749717
Q14B,A member of your local community,525,-0.10330914812125944,0.01978835519522876,0.13539400923051256
Q15A,Not being able to afford basic necessities like food or ho,523,-0.09307438815523696,0.029418185148205638,0.16703060483174034
Q15B,Not having access to necessary healthcare,524,0.01927556132241051,0.7244033131393821,0.8571199167030531
Q15C,"Feeling targeted or excluded due to race, gender, disabili",524,-0.010031784689289173,0.8016109919149341,0.8757094869658945
Q16,How concerned are you about being affected by crime or vio,525,0.09822125790055337,0.07405778916843365,0.31501436933193766
Q18A,Religious or faith leaders,522,-0.02149615424919929,0.6307998950923311,0.8281671393471661
Q18B,Business leaders,524,0.04204877136248247,0.5082881834205426,0.7683305279054042
Q18C,Elected officials,523,0.02556423881350671,0.6370516456516663,0.8281671393471661
Q18D,Education officials,523,0.003572774466255226,0.9550232786788275,0.9876633843539652
Q18E,"Family, friends, and/or neighbors",524,0.007071626207940447,0.8630195933780807,0.9272111333814089
Q20A,X (formerly Twitter),523,0.09500408056890336,0.10674217633920162,0.3558072544640054
Q20B,Facebook,525,-0.12152957847139892,0.08044708338501896,0.3169127527288626
Q20C,Truth Social,524,0.020004660310395533,0.7379759769519089,0.8571199167030531
Q20D,Instagram,525,0.028912267040819672,0.663040622084397,0.8368473870968117
Q20E,Parler,523,-0.04522535054850364,0.4547060743065856,0.7366706331024954
Q20F,TikTok,523,-0.13619089537685797,0.003426926606196095,0.04317433917860023
Q20G,Rumble,524,-0.10998845809109026,0.11304675456916201,0.3584409291217332
Q20H,Gab,524,0.08439976411046778,0.27392006280936454,0.5987047240589027
Q20I,Discord,524,0.045612610289382516,0.4181395533818375,0.7060825472872524
Q20J,Twitch,524,0.03580114183446883,0.5677295543111452,0.7844683710058941
Q20K,YouTube,524,-0.29086254725794536,0.0036532133151123275,0.04317433917860023
Q20L,Snapchat,521,0.03009719569086683,0.48677156470188376,0.7481277462492603
Q20M,Reddit,524,-0.029815974894961107,0.5694354279552836,0.7844683710058941
Q20N,Bluesky,525,-0.07209883040815318,0.25705567593526923,0.5967363905640178
Q21,"On average, how much time PER DAY do you spend actively us",524,0.15726540012263368,1.4346286147019209e-05,0.0004662542997781243
Q22,The experiences and beliefs of people like me are valued a,525,-0.08482265436306842,0.17471569065525638,0.4635314241874149
Q23,How much power do ordinary citizens have to create change ,522,-0.021240842173236355,0.7450350045188077,0.8571199167030531
Q24A,Voting,525,-0.033737553364697775,0.6624285962714747,0.8368473870968117
Q24B,"Contacting elected officials by letter, email, or phone",525,-0.12309701899745856,0.01768801786453897,0.127746795688337
Q24C,Non-violent protests and demonstrations,525,0.032929332276933135,0.5755290154577537,0.7844683710058941
Q24D,Campaigning for political candidates or issues,524,-0.0028392980480965446,0.959141786444748,0.9876633843539652
Q24E,Donating money to candidates or causes,524,-0.055661164808626463,0.15165572891344842,0.41947329273932543
Q24F,Attending town hall meetings,524,-0.056583820791090485,0.1488054643278428,0.41947329273932543
Q25,To what extent did you receive formal education about gove,523,-0.035109675773383406,0.47157957810584794,0.7386186163103643
Q26,"Growing up, how much did your parents, relatives, or other",522,-0.09073826790108842,0.119859625671054,0.37099407945802426
Q27,"If you had to choose, which one of the following words or ",518,0.0026499557305808517,0.9656755095123458,0.9876633843539652
Q29,Whether or not you agree with current political leadership,519,-0.06811442434633018,0.09819451013412851,0.3525018227579545
Q30A,Democracy is the best form of government.,524,0.014506243822538439,0.7185721867079313,0.8571199167030531
Q30B,Most people in the U.S. are committed to having a strong d,524,0.000750051001275908,0.9876633843539652,0.9876633843539652
Q30C,U.S. political leaders are committed to having a strong de,524,-0.0681373842458462,0.33020155153016284,0.6221188652017561
Q31,I trust that U.S. political leaders will be held accountab,524,-0.05910169667239678,0.3615124058244037,0.6502712798292393
Q32A,"Every citizen should have the right to vote, even if they ",525,-0.08493602465882519,0.10228864143754286,0.3525018227579545
Q32B,People who have beliefs that are extreme or radical should,525,0.16509335451412707,0.015528013495758613,0.1209615596631031
Q32C,It is reasonable to assume that people who oversee electio,524,0.23176693253231828,3.4664707402625577e-06,0.00045064119623413246
Q32D,The news media should take more direction from the governm,525,-0.048014642151885875,0.44903316541690164,0.7366706331024954
Q32E,Laws should be created based on what is best for the major,525,0.05076911498184708,0.21065786207909698,0.5369710209859335
Q32F,"Citizens, including those who hold radical views, should b",524,0.015222327800773833,0.7655161737602987,0.8653661094681637
Q32G,More power should be given to presidents and the executive,525,-0.03973040313009651,0.46198052890245367,0.7366706331024954
Q32H,The economic differences between the rich and poor in the ,525,0.09788668392067948,0.07918336926013443,0.3169127527288626
Q32I,Society should aim to reduce the economic differences betw,525,0.04190395184872739,0.5141904302136167,0.7683305279054042
Q32J,Americans expect much more from government than it can rea,525,-0.07682404369511805,0.13802048029841932,0.3987258319732114
Q33A,The Supreme Court and judicial branch,525,-0.1308266221546272,0.021503151720942533,0.13797018746425962
