item,wording,b_alone,p_alone,b_net,p_net,N,q_alone,q_net,scan
Q1,Please imagine a ladder with steps numbered from z,-0.04268538632829149,0.35752537775471466,0.025615569310949188,0.7014771731613655,534,0.8053988675293001,0.9534460742016784,YEAR 1 (535)
Q2,On which step do you think you will stand about fi,-0.0750072408412834,0.5211067905877974,-0.00976103915499756,0.9207377248783191,534,0.831924204363072,0.9767446993875256,YEAR 1 (535)
Q3,Which one of these phrases comes closest to your o,0.032434359747543565,0.42443162233625065,-0.016712027706866417,0.8042361031430616,535,0.8053988675293001,0.9722049782295833,YEAR 1 (535)
Q4,How often do you feel lonely? Scale Input 5 Right ,0.018614551757024624,0.6603656847084879,0.023008309200575554,0.6795742048745403,534,0.844984048175377,0.9534460742016784,YEAR 1 (535)
Q5,About how many hours of free time do you have on a,0.11564734425102519,0.09190559550026463,0.16425725583475886,0.057131756034299847,533,0.5587336028301403,0.8809649817994989,YEAR 1 (535)
Q6,About how many hours of free time do you have on a,0.026543624549101155,0.6140064039115968,0.017121313369671605,0.73711797333239,533,0.844984048175377,0.9534460742016784,YEAR 1 (535)
Q7,"In the past week, on how many days did you have an",-0.04300205909924253,0.651159953276882,-0.012200698292376168,0.9023379793532356,515,0.844984048175377,0.9767446993875256,YEAR 1 (535)
Q8,How often do you feel overloaded by information? S,-0.01137558442420908,0.8765342365795576,0.045095146261514965,0.6226086195988363,533,0.9613808573679409,0.9189135755881276,YEAR 1 (535)
Q9A,Housing Scale Input 5 Right F40 F40,0.08213324791063661,0.22266413525487383,0.16757901892994362,0.039268127849009876,533,0.7489022835890322,0.8809649817994989,YEAR 1 (535)
Q9B,Healthcare Scale Input 5 Right F40 F40,-0.0002536939061320003,0.997367947607592,0.06581013355945486,0.41014196302803535,534,0.997367947607592,0.9189135755881276,YEAR 1 (535)
