item,wording,b_addr,p_addr,b_inten,p_inten,N,q_addr,q_inten
Q1,please imagine a ladder with steps numbered from zero at t,-0.023630481737300726,0.45820129482619165,-0.15832798191586683,0.024706758083084833,1248,0.9712664425118049,0.2285375122685347
Q2,on which step do you think you will stand about five years,-0.014236545184910307,0.7057003409079966,-0.12360621549374978,0.05955448254552583,1240,0.9712664425118049,0.314787979169208
Q3,which one of these phrases comes closest to your own feeli,0.0807946118456885,0.3119693365240407,0.13996607933917166,0.18451948542585908,1257,0.9572311250803184,0.38452792751306064
Q10,how often do you attend events in your community such as f,-0.07656377240835001,0.0913079357431091,-0.08547100438469585,0.08263501048961246,1255,0.8439551092243813,0.3176843751902724
Q14B,a member of your local community,-0.06111170856998541,0.41823006451974415,-0.06773069178543696,0.18706764041175925,1257,0.9712664425118049,0.38452792751306064
Q18A,religious or faith leaders,0.001627042147849883,0.9643268697991586,-0.01044949313377357,0.8792750119285854,1252,0.9712664425118049,0.9295192983245045
Q18D,education officials,0.0021165908914781394,0.9712664425118049,-0.07795350697148606,0.16647332663464204,1255,0.9712664425118049,0.38452792751306064
Q21,on average how much time per day do you spend actively usi,0.04318152706250801,0.47206971873348313,0.17931837216387347,0.014754749732778122,1251,0.9712664425118049,0.2285375122685347
Q22,the experiences and beliefs of people like me are valued a,0.004269549788874401,0.8726955789324562,-0.121631907213656,0.09203888748371834,1254,0.9712664425118049,0.3176843751902724
Q23,how much power do ordinary citizens have to create change ,-0.008332175245036488,0.9142917838376313,-0.0037133005773289556,0.9446482286770912,1254,0.9712664425118049,0.9446482286770912
Q27,if you had to choose which one of the following words or p,-0.009309559479448499,0.6705253478113105,0.03814903678180677,0.3546205866960771,1249,0.9712664425118049,0.5704765959893414
Q29,whether or not you agree with current political leadership,-0.017317268315959124,0.7309146008119983,0.055097817518248535,0.5842266447684478,1241,0.9712664425118049,0.6973027695623409
Q30A,democracy is the best form of government,-0.023525385024851627,0.6446100947512766,-0.09100555196863343,0.12452067187769322,1254,0.9712664425118049,0.3544049891903576
Q30B,most people in the us are committed to having a strong dem,0.061737019264605675,0.09326997642699696,-0.05986524339028088,0.4212348191222023,1253,0.8439551092243813,0.618629211467306
Q30C,us political leaders are committed to having a strong demo,0.05359527962531997,0.228095975466049,-0.0761901360592642,0.32218505492515165,1254,0.8439551092243813,0.567659382487172
Q31,i trust that us political leaders will be held accountable,0.07439319861145097,0.058890713425843746,0.03763579667178974,0.5067816053721066,1254,0.8439551092243813,0.6696756928131408
Q32C,it is reasonable to assume that people who oversee electio,0.05321464053780801,0.12186348499072751,0.23250872364129455,0.02309601870501611,1255,0.8439551092243813,0.2285375122685347
Q32H,the economic differences between the rich and poor in the ,0.04212531310702294,0.5851211449615663,0.025790559398881658,0.795012355654535,1256,0.9712664425118049,0.886818659047101
Q33A,the supreme court and judicial branch,-0.008128495502304427,0.7920566122290706,-0.11567674210220695,0.1757656755416748,1255,0.9712664425118049,0.38452792751306064
Q33B,congress and the legislative branch,0.04595881269033514,0.19097503663974785,-0.018480544007744182,0.5840148261953575,1254,0.8439551092243813,0.6973027695623409
Q33C,the presidency and executive branch,0.011026648891093834,0.8246134001215126,0.06492653229186673,0.5288166748610117,1255,0.9712664425118049,0.6746971368916356
Q33D,the peoples role in the democratic process,-0.0014630356404145423,0.9590596631674937,-0.00462263931653796,0.938133080034777,1255,0.9712664425118049,0.9446482286770912
Q33E,how elections are administered,-0.047489473954617584,0.528293584158322,-0.20640688588531497,0.017342147093326984,1254,0.9712664425118049,0.2285375122685347
Q33F,the criminal justice system,-0.007483087831475006,0.75894301608874,-0.08947448839329994,0.10959002100269499,1255,0.9712664425118049,0.33790256475830954
Q33G,that all people are treated equally under the law,0.016112519021749875,0.5824246529854912,-0.08887768752392688,0.20431871528992632,1253,0.9712664425118049,0.397883813985646
Q33H,freedom of the press,0.005803547692947249,0.9063828391285974,-0.13545551687911125,0.15138922113809242,1253,0.9712664425118049,0.38452792751306064
Q33I,division of power between the federal judicial legislative,0.05306170252236371,0.22694276222584048,-0.07131860131719453,0.43471241886891776,1255,0.8439551092243813,0.618629211467306
Q33J,division of power between federal state and local governme,0.019602946046572416,0.7743120433754256,-0.15765104058528168,0.09444670613764855,1255,0.9712664425118049,0.3176843751902724
