outcome,wording,b_addr_net,p_addr_net,b_inten_net,p_inten_net,b_inten_Y1,p_Y1,b_inten_Y2,p_Y2,q_addr_net,q_inten_net
Q1,Please imagine a ladder with steps numbered fr,0.03831159629163471,0.48433729397313097,-0.2542483254143613,2.4591076487084006e-05,-0.21942858700266843,0.004475904882497354,-0.2932400788680197,9.087887802737042e-05,0.975936257856173,0.0011065984419187803
Q2,On which step do you think you will stand abou,0.01052739898942066,0.8375578444754995,-0.16361161055147666,0.010571756639012156,-0.0796733150930023,0.3762919296592521,-0.23630360830973884,0.011553649756729442,0.975936257856173,0.06625379112402488
Q3,Which one of these phrases comes closest to yo,0.031010548303206428,0.6015051205512221,0.27811177255426867,0.00043705076397106363,0.29780172832826524,0.0011220570637305812,0.2593622807731052,0.05609395193808964,0.975936257856173,0.006316302110735875
Q10,How often do you attend events in your communi,-0.06975578202125737,0.16130944624329022,-0.07539746811737796,0.20541791164811138,-0.008858312240210022,0.9350265798341901,-0.15157687794560354,0.02299555441852698,0.9073656351185074,0.3697522409666005
Q14B,A member of your local community,-0.015766291954368204,0.7670313858950695,-0.022742015742483752,0.5125668827104687,-0.04953240034825769,0.5506409297961743,-0.0030706492504900262,0.9644947231570796,0.975936257856173,0.6945992866490637
Q18A,Religious or faith leaders,-0.05101924505485925,0.3487972698281821,-0.10457319952723157,0.17643707501801661,-0.127608590250828,0.009192996249739611,-0.07872594366549437,0.4469305558795371,0.975936257856173,0.3480281547474538
Q18D,Education officials,0.027276410575553092,0.5541803473519663,-0.028676133633857764,0.615600536441123,-0.0166903759828241,0.8255214525083793,-0.05756336777630245,0.6083703756317554,0.975936257856173,0.6945992866490637
Q21,"On average, how much time PER DAY do you spend",0.04287200107237092,0.5082944953475023,0.17541678384193687,0.013932013643103761,0.19101506186826417,0.0007820464227593609,0.1495579514149765,0.14413476639527345,0.975936257856173,0.06625379112402488
Q22,The experiences and beliefs of people like me ,-0.0059476956576147684,0.9274837729390184,-0.1790471821545806,0.014723064694227751,-0.09406339900245596,0.38470230618873036,-0.24687860734938094,0.0027235827823276293,0.975936257856173,0.06625379112402488
Q23,How much power do ordinary citizens have to cr,0.013024973091424311,0.87188701036566,0.0013486747234382201,0.9847917564023345,0.06275281756523735,0.45779583930686535,-0.040423959348893486,0.6964076494330489,0.975936257856173,0.9847917564023345
Q27,"If you had to choose, which one of the followi",-0.05625029225856123,0.15076118404186645,0.03924413750494116,0.31538888334524157,-0.006382241457484353,0.9125100083598745,0.06688952411021751,0.2384506692473405,0.9073656351185074,0.48939654312192654
Q29,Whether or not you agree with current politica,-0.010948049956982727,0.8787722672942648,0.048345858461427096,0.6794037984268536,-0.08489074744777114,0.273117639916792,0.15127223703592205,0.40311525133099857,0.975936257856173,0.7279326411716288
Q30A,Democracy is the best form of government.,0.033865716772208655,0.5835776564502925,-0.029873446868536643,0.5881976024906593,-0.018171586938736606,0.8469569139107977,-0.047140159450648624,0.45208978493830826,0.975936257856173,0.6945992866490637
Q30B,Most people in the U.S. are committed to havin,0.03676435111312598,0.4301411442256241,0.03534082146391174,0.5720581182706819,0.017815679290510658,0.8279867587459684,0.03629662168266537,0.713401106179369,0.975936257856173,0.6945992866490637
Q30C,U.S. political leaders are committed to having,0.04711915309056053,0.5840525549579249,-0.040143645005090496,0.6328571278358136,-0.061426707641435443,0.5288475643356515,-0.021213798736750143,0.8569762381405847,0.975936257856173,0.6945992866490637
Q31,I trust that U.S. political leaders will be he,0.07167070457098441,0.08632526309272387,0.06553613111983018,0.3105004666319776,-0.03273945792004432,0.7516849164855118,0.14794399265118008,0.03769301935626033,0.9073656351185074,0.48939654312192654
Q32C,It is reasonable to assume that people who ove,0.04149166880658506,0.5051342480163669,0.26094736080516273,0.00031217901177795924,0.3314292140955298,0.00026293571461929647,0.19613633163101896,0.021423426952044498,0.975936257856173,0.006316302110735875
Q32H,The economic differences between the rich and ,0.029886377751136534,0.5957890981438397,0.04593106971561449,0.5763771545641773,0.1471667492480135,0.014438775186441653,-0.03531665777196529,0.7841475564519067,0.975936257856173,0.6945992866490637
Q33A,The Supreme Court and judicial branch,0.004173328144178284,0.9535948809496925,-0.11616952113091575,0.2257163286356948,-0.197803278354913,0.017753323282211058,-0.04970877184088006,0.6997915881487897,0.975936257856173,0.3906628764848564
Q33B,Congress and the legislative branch,0.07419871453746915,0.12719584655983684,-0.023063943614208007,0.6205546426447013,-0.019067210760021186,0.7388682532893327,-0.018352695975974734,0.735433180322862,0.9073656351185074,0.6945992866490637
Q33C,The presidency and executive branch,-0.0031844131115672837,0.9713895776942045,0.13858029302245287,0.16825041391882947,0.07318013517124887,0.3665518047484618,0.1908637159982205,0.17838199171762403,0.975936257856173,0.3480281547474538
Q33D,The peoples role in the democratic process,0.021044769537509597,0.6821661541933508,0.012172166428965923,0.8517779042816006,-0.0923127739404088,0.2900757022549037,0.10658084983525724,0.24106201019062065,0.975936257856173,0.8711364930152734
Q33E,How elections are administered,0.019195891962714554,0.7208258657607183,-0.1810696007032743,0.010572583243483086,-0.30362679642503776,0.00011508854500369043,-0.06794088750974682,0.509698754270649,0.975936257856173,0.06625379112402488
Q33F,The criminal justice system,0.009736840615103909,0.8609080933654232,-0.11632037630618833,0.08294885472189067,-0.1707155862938261,0.007816046278254028,-0.0714103561337211,0.45447421937819904,0.975936257856173,0.2840642120188969
Q33G,That all people are treated equally under the ,0.03239362844084813,0.5947975495108522,-0.06357148216230116,0.3993525099887216,-0.1279171572798546,0.11373555973482878,-0.008981851680056257,0.945922390903126,0.975936257856173,0.5990287649830824
Q33H,Freedom of the press,-0.02061339597902228,0.7725914135579481,-0.1229895172966905,0.19181649419702423,-0.24706269646792633,0.031485818372749046,-0.011927278805112712,0.9327519141507801,0.975936257856173,0.3596559266194204
Q33I,Division of power between the federal judicial,0.05939427237383105,0.43886955691167917,-0.03223137280075057,0.5891523340062296,-0.14163683413033556,0.13019380228739882,0.06891894627697072,0.48640981705118097,0.975936257856173,0.6945992866490637
Q33J,"Division of power between federal, state, and ",-0.013313266844709949,0.8831696811303188,-0.14807552733199533,0.13949118635584054,-0.1860302358957237,0.014904701358966313,-0.10914987465494702,0.4827436983319527,0.975936257856173,0.3480281547474538
