var,label,b,beta_sd,p,n,q_bh
Q21,"On average, how much time PER DAY do you spend actively usin",0.30360617425597564,0.2772423408145998,9.77477586023547e-08,385,1.104549672206608e-05
Q33E,How elections are administered,-0.33600329849359295,-0.2705483512414713,7.77183284395348e-06,384,0.00043910855568337156
Q32C,It is reasonable to assume that people who oversee elections,0.28704551522471994,0.25344674703623565,0.00010335072168305093,383,0.0038928771833949185
Q34B,"If I had a concern, I know how to share it with my elected o",-0.20470783956912894,-0.18196081973935477,0.00019965194042665126,383,0.0056401673170528984
Q35E,Our government’s laws and policies are careful to uphold fre,-0.2750042656329828,-0.25724658098511044,0.0009758977881858443,382,0.01999188310178093
Q12D,You are unsure how to get involved,-0.09484795202297243,-0.19101783358556915,0.001061515916908722,383,0.01999188310178093
Q20K,YouTube,-0.24753985242976634,-0.3885795637919325,0.0014445790751261567,385,0.023319633641322245
Q20F,TikTok,-0.15338831443119094,-0.2014911309388941,0.002017409801783084,384,0.02849591345018606
Q35C,Government includes many people who have similar backgrounds,-0.17922918400245097,-0.16410701577792824,0.0031520843503337033,383,0.03957617017641205
Q33H,Freedom of the press,-0.25543459431005017,-0.22265111309481497,0.006228479970338417,382,0.07038182366482411
Q46,Would you describe yourself as a born-again or Evangelical C,-0.08295430013564424,-0.20490161559020195,0.007052269362774211,383,0.07244603981758962
Q32A,"Every citizen should have the right to vote, even if they ar",-0.1128021956393867,-0.1211644324383141,0.009144952142476858,384,0.08611496600832375
Q38,Thinking about the perspectives you hear and read about poli,-0.13079249910861704,-0.17485126978966942,0.011199141565396566,382,0.09734638437613938
Q35D,Government decisions usually attempt to serve the best inter,-0.22155627875401906,-0.21798584585227374,0.015603651701061559,383,0.1259437601585683
Q35A,Government decisions generally reflect what the majority of ,-0.1352089647445205,-0.1360894846124172,0.0342396088500699,384,0.2357011298016341
Q20G,Rumble,-0.21521032203727222,-0.5106752291553691,0.034861980543195115,385,0.2357011298016341
Q5,About how many hours of free time do you have on a typical w,0.27096870738463386,0.11179963113888505,0.035459462005555574,376,0.2357011298016341
Q33F,The criminal justice system,-0.11479974556257294,-0.11413275389860417,0.04187788042746992,384,0.2629000271280056
Q34A,Local voting procedures and laws make it easy for people lik,-0.18670660460476238,-0.18558940457366366,0.04623073868545694,384,0.27495123533982285
Q33C,The presidency and executive branch,0.1359148946557734,0.11888185325408238,0.04990132918537747,383,0.28194250989738273
Q40,Have you ever served in the U.S. armed forces?,0.033818466897613024,0.14180866564405603,0.05856426842126965,381,0.29587322706181934
Q33A,The Supreme Court and judicial branch,-0.15149356094905395,-0.13117085295131284,0.05882973912150101,384,0.29587322706181934
Q14B,A member of your local community,-0.09925455376706402,-0.11910005100482644,0.06022198426921987,385,0.29587322706181934
Q26,"Growing up, how much did your parents, relatives, or other a",-0.13041107100622448,-0.12720993197661956,0.0720894943845587,383,0.33942136939396383
Q36F,cultural change attitudes,-0.054705303468024505,-0.11434597503760768,0.07631288437682628,380,0.34493423738325474
Q18A,Religious or faith leaders,-0.04071297609849043,-0.09682985164375983,0.0878422461702649,385,0.3598077595663234
Q12I,You have no desire to get involved,-0.04680715951639218,-0.09884423405472474,0.08896941749982173,382,0.3598077595663234
Q20M,Reddit,-0.08345351490411342,-0.10804173407424869,0.09002684267761292,385,0.3598077595663234
Q16,How concerned are you about being affected by crime or viole,0.08017395200523045,0.10075535697767798,0.09234004449047238,385,0.3598077595663234
Q24A,Voting,-0.11009768247447772,-0.13767409571241113,0.09645386033121742,384,0.36080956640616935
Q12F,Not knowing enough about the issues,-0.045557291011439835,-0.09861456623445783,0.10098114950032061,384,0.36080956640616935
Q9E,Childcare,-0.11795007837566873,-0.08913904524472466,0.1044905337258158,382,0.36080956640616935
Q33G,That all people are treated equally under the law,-0.10422306900550726,-0.10218935493264782,0.10536916541065124,381,0.36080956640616935
Q47,Are you currently registered to vote?,0.012487337844748862,0.07132518506647963,0.11499639490122732,384,0.3649048704018178
Q36C,political compromise attitudes,0.03924699996821086,0.12070748413544978,0.11911784786135705,384,0.3649048704018178
Q32J,Americans expect much more from government than it can reaso,-0.12769279377366968,-0.1000934364802116,0.12102291244933218,384,0.3649048704018178
Q32I,Society should aim to reduce the economic differences betwee,-0.16449249307512187,-0.14070649136872793,0.1222340100771375,384,0.3649048704018178
Q35B,Government is sensitive to the interests of people like me w,-0.16141086707797275,-0.15981548119772254,0.12482261435348156,384,0.3649048704018178
Q20C,Truth Social,-0.10468380096262725,-0.28462465058789105,0.125940618988238,384,0.3649048704018178
Q24B,"Contacting elected officials by letter, email, or phone",-0.0885900509080183,-0.09835391780961901,0.12994409447963742,385,0.3670920669049757
Q32E,Laws should be created based on what is best for the majorit,0.10263263464534511,0.08914836107293965,0.13917496750547348,384,0.3835797884906952
Q22,The experiences and beliefs of people like me are valued and,-0.10060980074192413,-0.09492834367631531,0.14777782551584934,385,0.38870976376363325
