topic,level,words,register
1,MARGINAL,elon musk government doge tesla twitter usaid social musk's federal cut donald billionaire money security,FALSE
1,Liberal,musk elon government doge usaid twitter musk's federal tesla social security cut wants richest administration,FALSE
1,Conservative,elon musk government doge tesla twitter donald social usaid money billionaires cut vivek billionaire spending,FALSE
2,MARGINAL,car cars heat water air electric plant steel fuel pipe truck vehicles buy drive driving,FALSE
2,Liberal,water cars car air heat fuel plant electric plants steel gas airlines use hydrogen vehicles,FALSE
2,Conservative,car cars pipe truck electric heat buy driving air drive vehicles steel long company plant,FALSE
3,MARGINAL,history american king th constitution america civil washington americans war founding slavery nation independence declaration,FALSE
3,Liberal,history american th constitution king civil america americans war rights nation washington century government great,FALSE
3,Conservative,king american history founding slavery constitution washington jefferson declaration america independence lincoln th civil england,FALSE
4,MARGINAL,trade tariffs countries canada india europe tariff united states economic world deal european foreign global,FALSE
4,Liberal,countries trade europe european india states united world international economic global foreign relationship policy course,FALSE
4,Conservative,tariffs trade canada countries tariff deal deals economic india trump's goods canadian mexico united american,FALSE
5,MARGINAL,court supreme case law justice courts executive congress constitution decision cases judges judge amendment legal,FALSE
5,Liberal,court supreme case law courts decision justice executive congress judges constitution cases judge power legal,FALSE
5,Conservative,court supreme case law justice constitution congress executive amendment decision courts constitutional cases legal judge,FALSE
6,MARGINAL,election democracy elections political party power authoritarian government opposition system parties hungary vote orban democratic,FALSE
6,Liberal,election democracy elections authoritarian party opposition hungary orban government political power we've regime vote authoritarianism,FALSE
6,Conservative,election democracy elections political system power party parties government vote authoritarian won democratic reform moment,FALSE
7,MARGINAL,world capitalism idea human society different sense political nature understand ways certain social question life,FALSE
7,Liberal,capitalism world human nature class historical socialism consciousness idea life understand process history change sense,FALSE
7,Conservative,idea society different sense world believe culture human political question moral ways wrong certain true,FALSE
8,MARGINAL,god christian jesus church faith religious bible christ life religion christians believe says love christianity,FALSE
8,Liberal,christian god jesus religious faith church religion believe bible christians christianity life christ love evangelical,FALSE
8,Conservative,god christian jesus church christ bible faith says life lord st holy love christians man,FALSE
9,MARGINAL,black white racist race brown racism color racial dei diversity plastic community south skin jackson,FALSE
9,Liberal,black white racist brown race racism racial color south jackson plastic community dei jesse diversity,FALSE
9,Conservative,black white racist race color dei racial racism brown skin diversity thanksgiving food matter blacks,FALSE
10,MARGINAL,ai companies technology tech use company model industry different google models world chips work intelligence,FALSE
10,Liberal,ai companies technology tech use company data model different world chips work models industry intelligence,FALSE
10,Conservative,ai technology companies tech use company tiktok google industry internet model artificial app models intelligence,FALSE
11,MARGINAL,school movement education schools students university left political public college class groups student state organizing,FALSE
11,Liberal,movement political left organizing groups movements social different politics organizations power organization moment important rights,FALSE
11,Conservative,school education schools students university college public student class universities teachers left kids conservative high,FALSE
12,MARGINAL,israel israeli hamas lebanon hezbollah gaza syria netanyahu ceasefire killed quote israelis deal east middle,FALSE
12,Liberal,israel israeli lebanon gaza ceasefire hezbollah syria killed quote hamas deal military end attack war,FALSE
12,Conservative,israel israeli hamas netanyahu hezbollah lebanon gaza israelis syria middle east israel's hostages ceasefire deal,FALSE
13,MARGINAL,freedom free government rights speech property gun guns private laws amendment use different system law,FALSE
13,Liberal,freedom rights gun property free guns different factory laws use product business sell law license,FALSE
13,Conservative,government free speech rights freedom private amendment libertarian laws system problem liberty law property use,FALSE
14,MARGINAL,donald trump's american america white house ballroom man day pool million obama maga truth posted,FALSE
14,Liberal,donald trump's american maga america ballroom pool million here's says great white house let's posted,FALSE
14,Conservative,donald trump's white house america obama day man ballroom american truth building told million pool,FALSE
15,MARGINAL,jewish jews israel anti-semitism religious anti-semitic jew yes religion zionist hate holocaust muslim th state,FALSE
15,Liberal,jewish jews israel yes anti-semitism anti-semitic hate zionist muslim holocaust jew nazi palestine nazis speech,FALSE
15,Conservative,jewish jews religious religion israel anti-semitism jew anti-semitic christian judaism th state community holocaust christians,FALSE
16,MARGINAL,case judge attorney justice department criminal jury court evidence trial charges law cases general federal,FALSE
16,Liberal,case judge attorney justice department jury court grand indictment criminal government doj comey evidence general,FALSE
16,Conservative,case attorney justice judge criminal department law trial evidence jury cases charges court general federal,FALSE
17,MARGINAL,democrats party voters democratic republicans republican vote win election politics poll polling won issues polls,FALSE
17,Liberal,party democrats voters democratic win republicans republican vote election politics poll issue polling feel issues,FALSE
17,Conservative,democrats party voters republicans democratic republican vote win election poll politics democrat won polls polling,FALSE
18,MARGINAL,oil gas prices price saudi iran strait war gulf arabia energy sanctions economy global hormuz,FALSE
18,Liberal,oil gas prices saudi sanctions price gulf war arabia iran energy strait economy global world,FALSE
18,Conservative,oil gas prices price iran strait saudi supply hormuz world energy global arabia economy ships,FALSE
19,MARGINAL,corruption peter government accountability corrupt eric institute research don harvard schweitzer thiel jared public accountable,FALSE
19,Liberal,corruption corrupt government peter accountability don jared accountable public jr kushner family thiel business scandal,FALSE
19,Conservative,peter eric corruption accountability institute research harvard government schweitzer clinton fact interesting washington we've great,FALSE
20,MARGINAL,energy climate wind clean green projects administration project change build power industry natural gas environmental,FALSE
20,Liberal,energy climate administration wind clean industry projects change gas policy project environmental power we've nuclear,FALSE
20,Conservative,energy climate green wind build project natural projects change power clean infrastructure administration solar doug,FALSE
21,MARGINAL,british uk hitler germany prime britain london minister french german party starmer france england keir,FALSE
21,Liberal,uk british prime minister germany london hitler french britain andrew party german france starmer father,FALSE
21,Conservative,british uk hitler britain germany german london french fascist england party starmer minister prime france,FALSE
22,MARGINAL,ukraine russia putin russian war russians zelensky nato ukrainian europe peace ukrainians vladimir military deal,FALSE
22,Liberal,ukraine russia russian putin war russians ukrainian nato zelensky ukrainians military europe peace russia's vladimir,FALSE
22,Conservative,ukraine russia putin russian zelensky russians nato war europe peace ukrainian deal vladimir end military,FALSE
23,MARGINAL,house white donald trump's press meeting room office day asked says question moment cabinet wants,FALSE
23,Liberal,house white donald trump's press day office today room meeting says asked week night wants,FALSE
23,Conservative,donald house white trump's press meeting room maga question asked cabinet office says moment news,FALSE
24,MARGINAL,fucking man shit love yes let let's bad fuck i've tell i'll god crazy everybody,TRUE
24,Liberal,fucking shit man fuck love crazy bad god yes feel podcast let everybody dude y'all,TRUE
24,Conservative,man love let's let i'll tell i've yes fucking day bad everybody dude here's shit,TRUE
25,MARGINAL,economy inflation tariffs prices economic fed rates market year rate numbers interest growth tariff lower,FALSE
25,Liberal,tariffs economy inflation prices economic tariff fed market numbers rates price rate trade year trump's,FALSE
25,Conservative,economy inflation rates fed prices economic year rate market interest growth lower numbers higher reserve,FALSE
26,MARGINAL,epstein files jeffrey release donald released documents maxwell victims sex bondi epstein's pam information justice,FALSE
26,Liberal,epstein files jeffrey release donald maxwell documents released victims sex justice epstein's bondi ghislaine pam,FALSE
26,Conservative,epstein files jeffrey release released donald clinton list documents bill victims information pam bondi sex,FALSE
27,MARGINAL,fire water california los angeles weather fires kings disaster fema hurricane area burning storm day,FALSE
27,Liberal,fire kings weather water los angeles indivisible day fema we've local storm hurricane national fires,FALSE
27,Conservative,fire water california los angeles fires weather disaster burning texas hurricane state area river la,FALSE
28,MARGINAL,south africa global land farmers world north climate african farm economic change resources countries supply,FALSE
28,Liberal,global africa south world economic climate market supply resources transition economy capital change countries mining,FALSE
28,Conservative,south africa farmers land farm north african population climate earth global change farms world agriculture,FALSE
29,MARGINAL,city york mayor council seattle mamdani crime police cities public adams cuomo chicago week zoran,FALSE
29,Liberal,city mayor york council seattle mamdani police adams town office county erica cuomo year public,FALSE
29,Conservative,city york mayor crime seattle mamdani cities council chicago police washington week public cuomo zoran,FALSE
30,MARGINAL,movie film great movies yes hollywood story watch character episode love i've seen bob bit,FALSE
30,Liberal,movie film great yes bob episode movies love thank watch theater heather character hollywood story,FALSE
30,Conservative,movie film movies great story hollywood watch character seen she's i've bit funny love interesting,FALSE
31,MARGINAL,biden joe biden's hunter boring administration pen obama office wasn't rogan family jake auto pardon,FALSE
31,Liberal,biden joe biden's hunter rogan obama administration jake wasn't office presidency saw old remember thought,FALSE
31,Conservative,biden joe biden's boring hunter pardon pen armstrong angry getty auto depressing family administration office,FALSE
32,MARGINAL,music song rock puerto culture band love la bad dance songs singing great different went,FALSE
32,Liberal,music song la puerto moment feel love rico real thank spanish album songs different artists,FALSE
32,Conservative,music song rock culture dance band podcast bad called love dancing singing great garden night,FALSE
33,MARGINAL,iran nuclear iranian war regime deal iranians strait iran's military hormuz missiles program weapon weapons,FALSE
33,Liberal,iran war nuclear iranian deal regime iranians strait hormuz iran's israel military missiles attack program,FALSE
33,Conservative,iran nuclear iranian regime deal iranians military iran's strait missiles weapon program hormuz weapons war,FALSE
34,MARGINAL,america great thank day today american we've body stick work love fresh chicken americans important,FALSE
34,Liberal,body stick day fresh chicken pack america sugar work vitamins we've levels rick ingredients groons,FALSE
34,Conservative,thank america great american today day we've americans love hope important appreciate nation thanks we'll,FALSE
35,MARGINAL,texas state republican senate race primary republicans seat district running win senator governor georgia john,FALSE
