show_id,show,host_index,n_hosts,host_name,final_source,confidence,final_cfscore,real_occupation,matched_bonica_cids,alt_names,notes
1551206847,#SistersInLaw,0,4,Joyce Vance,clean_candidate_unique,high,1.543,,,,200/OH/federal:senate
1551206847,#SistersInLaw,1,4,Jill Wine-Banks,clean_donor_unique,medium,-0.582,,,,occ=nan|emp=nan
1551206847,#SistersInLaw,2,4,Barb McQuade,google_multi_record_merged,high,-0.944,"Attorney; former Assistant US Attorney and US Attorney (E.D. Michigan, 2010-2017); now University of Michigan Law professor and MSNBC legal analyst. Practiced at Butzel Long (Detroit) 1993-1998, then AUSA in Detroit 1998-2010.",5000000102806934; 5000000102806935; 5000005201484841,Barbara McQuade; Barbara L. McQuade,"The 2002 'asst u s attorney' record matches her AUSA years exactly; the Butzel Long/MI record (1996-2024, 125 donations) spans her firm and post-DOJ career and MI matches her lifelong base. The PA/Cigna record is an unrelated namesake."
1551206847,#SistersInLaw,3,4,Kimberly Atkins Stohr,no_dime_record,none,,,,,
1798460240,10 Minute Drill,0,1,Matt Whitlock,clean_donor_unique_via_occupation,high,-1.156,,,,occ=photojournalist|emp=sinclair broadcasting
1490993194,Advisory Opinions,0,2,Sara Isgur,google_multi_record_merged,high,1.0775,"Attorney; DOJ Office of Public Affairs director (2018-2019), former RNC/campaign operative, now Advisory Opinions host and ABC News legal analyst. Born/raised Houston TX, Harvard Law (Cambridge MA).",5000003380175018; 5000003380175026; 5000033718807063; 5000035633330433,Sarah Isgur; Sarah Isgur Flores; Sarah M. Isgur; Sarah Maureen Isgur,"The DOJ Public Affairs 2018 record is a near-exact bio match; the MA record ('sarah m', 2008) aligns with her Harvard Law years and middle name Maureen; TX records fit her Houston roots and self-employed-lawyer/Cruz-campaign era. The CA consultant ('sara' no h) and WA physical-therapist records are unrelated namesakes."
1490993194,Advisory Opinions,1,2,David French,google_no_dime_record,none,,"Attorney/columnist (NYT, formerly The Dispatch/National Review), former JAG Corps major; based in Tennessee, born Alabama.",,David Austin French; David A. French,"Both candidate records have different middle initials (David E. French, FL judicial; David W. French, KS state house) and he has never run for office. The donor record (manager, 'nobody media llc', MD) doesn't fit his attorney/writer profile or TN residence."
1314170606,All In with Chris Hayes,0,1,Chris Hayes,unresolved_too_many_homonyms,none,,,,,"435 same-name donors, no media signal, not sent to Google"
1549624070,Amarica's Constitution,0,2,Akhil Reed Amar,google_single_match,high,-0.686,"Sterling Professor of Law at Yale, New Haven CT, since 1985; constitutional law scholar/author.",4154350136,Akhil Amar,CT state and long 1992-2024 active span match his decades-long Yale tenure. The Seton Hall University (NJ) record is a different 'A. Amar' professor.
1549624070,Amarica's Constitution,1,2,Andy Lipka,no_dime_record,none,,,,,
1574741668,American Prestige,0,2,Daniel Bessner,google_multi_record_merged,high,-1.159,"Associate professor, University of Washington (Seattle), co-host of American Prestige podcast.",103662024; 35023912069,Dan Bessner,"Both records list occupation 'professor' at University of Washington/UW; the NH state on one is likely a secondary or family mailing address rather than a different person, given identical job description."
1574741668,American Prestige,1,2,Derek Davison,unresolved_too_many_homonyms,none,,,,,"10 same-name donors, no media signal, not sent to Google"
1471411980,American Thought Leaders,0,1,Jan Jekielek,no_dime_record,none,,,,,
