var,label,n,b,p,q
Q1,Please imagine a ladder with steps numbered from zero at,493,-0.1109065496423393,0.010820617782933502,0.04417965074047979
Q2,On which step do you think you will stand about five yea,487,-0.06912973484878203,0.48382552807613877,0.6220613932407498
Q3,Which one of these phrases comes closest to your own fee,498,0.11455730287496278,0.01224057958064629,0.048197282098794765
Q4,How often do you feel lonely?,497,0.0522683659228849,0.14115826319498986,0.27067322517306663
Q5,About how many hours of free time do you have on a typic,484,-0.0048398083313008905,0.924366329435305,0.9612331394272515
Q6,About how many hours of free time do you have on a typic,491,-0.004250058992328307,0.9307178016676563,0.9612331394272515
Q8,How often do you feel overloaded by information?,496,0.005018276120139888,0.9175218618315711,0.9612331394272515
Q9A,Housing,496,-0.01724753679020204,0.8218691716876129,0.9004827446316455
Q9B,Healthcare,497,-0.19081578286927703,0.0008269701693091225,0.004530358318823889
Q9C,Food,497,-0.14163514701070445,0.010869596610752964,0.04417965074047979
Q9D,Schools,495,-0.009562254601480403,0.8414995671532701,0.906230303088137
Q9E,Childcare,495,-0.10721973826456001,0.01661056586957726,0.05979803713047814
Q10,"How often do you attend events in your community, such a",497,-0.0036298305253628094,0.9514802214235643,0.9669930774141599
Q11,How often do you see people in your community showing di,493,0.15687150671229155,8.583582764274135e-05,0.0007725224487846722
Q12A,Your physical or mental health,498,0.0068069389304312704,0.8597210911635926,0.9180072668357006
Q12B,Your work or family obligations,494,0.035708715141386425,0.5330426556288743,0.6584644569533153
Q12C,You fear judgment or retaliation from others,497,-0.020848475564377487,0.5217021302292135,0.6508363208800089
Q12D,You are unsure how to get involved,496,-0.15616059769683677,0.0002329637264780515,0.0013342467971015678
Q12E,You don't believe it will make a difference,498,0.04143413464496651,0.6388084561132183,0.7323812964699341
Q12F,Not knowing enough about the issues,496,-0.05862093509538706,0.19284909158731633,0.32398647386669144
Q12G,You have not been invited or encouraged to participate,496,0.019479822036450392,0.7489319570590389,0.8350922707029991
Q12H,Feeling unwelcome or out of place when participating,497,-0.0497839503776644,0.31900379324279426,0.446605310539912
Q12I,You have no desire to get involved,496,-0.07053091312642665,0.1645395589476436,0.2945201377347385
Q13,"In the past 12 months, have you volunteered or actively ",498,-0.055031862432723296,0.24884111346789461,0.36458116624365955
Q14A,An American,497,-0.16633896061519665,1.2716067419283957e-05,0.00020027806185372234
Q14B,A member of your local community,498,-0.09841559746068074,0.03789131997259557,0.10158098545844771
Q15A,Not being able to afford basic necessities like food or ,496,-0.1034525783371256,0.030469264268719192,0.08725289313315042
Q15B,Not having access to necessary healthcare,497,-0.07886625760103222,0.0377399614747343,0.10158098545844771
Q15C,"Feeling targeted or excluded due to race, gender, disabi",497,-0.1232129202647933,1.6002887897793528e-05,0.00020163638751219846
Q16,How concerned are you about being affected by crime or v,498,0.06816534897096659,0.230189124964149,0.3494437318732864
Q18A,Religious or faith leaders,495,-0.02651339255293426,0.5138349537774831,0.6474320417596288
Q18B,Business leaders,497,0.17469994836866712,4.7890597941218326e-05,0.0005028512783827924
Q18C,Elected officials,496,0.062195147272852844,0.20992898679179028,0.3310912938063711
Q18D,Education officials,496,-0.03949531873510012,0.47013744517147094,0.6170553967875556
Q18E,"Family, friends, and/or neighbors",497,0.08951310752042109,0.1757003959684018,0.30747569294470317
Q20A,X (formerly Twitter),496,0.11478427403957978,0.0758843773848444,0.16411274110579618
Q20B,Facebook,498,0.006776146174045539,0.9182961595301712,0.9612331394272515
Q20C,Truth Social,497,-0.05807955020047708,0.4003682056099317,0.5366637649665041
Q20D,Instagram,498,0.08783450742426635,0.05998559082743116,0.13996637859733937
Q20E,Parler,496,-0.13344728572684889,0.14503935899808193,0.27276058557848243
Q20F,TikTok,496,-0.10448991652450357,0.07623925211427592,0.16411274110579618
Q20G,Rumble,497,-0.10033713441992893,0.03657433541438287,0.10158098545844771
Q20H,Gab,497,0.04431297148947104,0.706386382345217,0.7946846801383691
Q20I,Discord,497,0.0010267097802696135,0.9837974948943262,0.9837974948943262
Q20J,Twitch,497,0.05358353997801975,0.24156731118543628,0.3623509667781544
Q20K,YouTube,497,-0.18564307047079404,0.2057411144642851,0.3310912938063711
Q20L,Snapchat,494,0.014376552994464813,0.7906935852001158,0.8739244889053911
Q20M,Reddit,497,-0.021337802080545986,0.6361872525451507,0.7323812964699341
Q20N,Bluesky,498,-0.08286583518287427,0.30613669986104963,0.4433703929022098
Q21,"On average, how much time PER DAY do you spend actively ",497,0.10161707759683955,0.16595976015211455,0.2945201377347385
Q22,The experiences and beliefs of people like me are valued,498,-0.0627746120497141,0.2171061404659188,0.3344306264738265
Q23,How much power do ordinary citizens have to create chang,495,0.001972377888069865,0.973540295155928,0.9813286175171754
Q24A,Voting,498,-0.12653444778391845,0.1087536337349744,0.2210154492033351
Q24B,"Contacting elected officials by letter, email, or phone",498,-0.11965401348058355,0.009464395305282114,0.04206810427306115
Q24C,Non-violent protests and demonstrations,498,0.0038328953007309152,0.9516439809472683,0.9669930774141599
Q24D,Campaigning for political candidates or issues,497,-0.031096982415543747,0.6853806904451394,0.7779997026674556
Q24E,Donating money to candidates or causes,497,-0.06721089415001331,0.09811854413174494,0.20267109115737478
Q24F,Attending town hall meetings,497,-0.05504941383961822,0.14118838858548088,0.27067322517306663
Q25,To what extent did you receive formal education about go,496,0.051170514670486784,0.3185417050627316,0.446605310539912
Q26,"Growing up, how much did your parents, relatives, or oth",495,-0.11647770929189975,0.013360538091702186,0.05101296362286289
Q27,"If you had to choose, which one of the following words o",491,0.01482391208999339,0.8375402025434715,0.906230303088137
Q29,Whether or not you agree with current political leadersh,492,-0.09342634287442218,0.07998806770008439,0.16797494217017722
Q30A,Democracy is the best form of government.,497,0.12082874273925862,0.0245633462791782,0.07734714041999939
Q30B,Most people in the U.S. are committed to having a strong,497,-0.03858638216667959,0.5496117377151027,0.6658757591548361
Q30C,U.S. political leaders are committed to having a strong ,497,-0.08552488777928559,0.2176453283401093,0.3344306264738265
Q31,I trust that U.S. political leaders will be held account,497,-0.10182374601147128,0.07378535013415959,0.16411274110579618
Q32A,"Every citizen should have the right to vote, even if the",498,0.09202789134865004,0.07484151773477786,0.16411274110579618
Q32B,People who have beliefs that are extreme or radical shou,498,0.1856027018637189,0.006491936883039853,0.030295705454185983
Q32C,It is reasonable to assume that people who oversee elect,497,0.13681635933034247,0.2102166944802356,0.3310912938063711
Q32D,The news media should take more direction from the gover,498,-0.09542205859464753,0.04914033742744819,0.12636086767058105
Q32E,Laws should be created based on what is best for the maj,498,-0.0208073029420675,0.6393804969181964,0.7323812964699341
Q32F,"Citizens, including those who hold radical views, should",497,-0.059092278758513875,0.4826919238581382,0.6220613932407498
