scan,item,wording,values,b_net,p_net,N,q_net
YEAR 1,Q1,Please imagine a ladder with steps numbered from zer,,-0.21942858700266843,0.004475904882497354,568,0.0665307081170982
YEAR 1,Q2,On which step do you think you will stand about five,,-0.0796733150930023,0.3762919296592521,570,0.6543244595137687
YEAR 1,Q3,Which one of these phrases comes closest to your own,,0.29780172832826524,0.0011220570637305812,569,0.0276026037677723
YEAR 1,Q4,How often do you feel lonely? Scale Input 5 Right F4,,-0.045093504017341864,0.4654976894170815,569,0.734054048696167
YEAR 1,Q5,About how many hours of free time do you have on a t,,0.06665490923546312,0.3309153900865056,569,0.616705954252124
YEAR 1,Q6,About how many hours of free time do you have on a t,,0.03913630001480156,0.5718965106339451,568,0.7903738293030926
YEAR 1,Q7,"In the past week, on how many days did you have any ",,0.07508683518756559,0.5182593269789187,550,0.7773889904683782
YEAR 1,Q8,How often do you feel overloaded by information? Sca,,-0.13497775372537443,0.1947189822578646,569,0.5118784469876602
YEAR 1,Q9A,Housing Scale Input 5 Right F40 F40,,-0.009984500681223772,0.8687625755162189,569,0.989424044337916
YEAR 1,Q9B,Healthcare Scale Input 5 Right F40 F40,,-0.0875454851503235,0.3239063417559792,569,0.6161896052739235
YEAR 1,Q9C,Food Scale Input 5 Right F40 F40,,-0.22243948874520247,0.004207242932557817,569,0.0665307081170982
YEAR 1,Q9D,Schools Scale Input 5 Right F40 F40,,-0.045025764884807425,0.30496475545179946,564,0.6161896052739235
YEAR 1,Q9E,Childcare Scale Input 5 Right F40 F40,,-0.07723991857004026,0.31771362420029614,564,0.6161896052739235
YEAR 1,Q10,"How often do you attend events in your community, su",,-0.008858312240210022,0.9350265798341901,570,0.9914505975828051
YEAR 1,Q11,How often do you see people in your community showin,,0.07912761183262289,0.1681322689326589,564,0.5007831749868031
YEAR 1,Q12A,Your physical or mental health Scale Input 5 Right F,,-0.10929381535951477,0.19562322632233783,570,0.5118784469876602
YEAR 1,Q12B,Your work or family obligations Scale Input 5 Right ,,-0.05551938431091962,0.5106963254822154,568,0.7755018275841049
YEAR 1,Q12C,You fear judgment or retaliation from others Scale I,,-0.16982756795572634,0.07453855756038336,569,0.3481852987657772
YEAR 1,Q12D,You are unsure how to get involved Scale Input 5 Rig,,-0.1163170621984295,0.18005045970378145,568,0.5118784469876602
YEAR 1,Q12E,You don't believe it will make a difference Scale In,,0.06705715388094585,0.3479623218697946,570,0.6294024351468344
YEAR 1,Q12F,Not knowing enough about the issues Scale Input 5 Ri,,-0.13372288606418714,0.14689865300276025,566,0.4810233479018641
YEAR 1,Q12G,You have not been invited or encouraged to participa,,-0.06750064325074566,0.28881477053738047,570,0.6161896052739235
YEAR 1,Q12H,Feeling unwelcome or out of place when participating,,-0.14542310361437827,0.143987906871456,569,0.4810233479018641
YEAR 1,Q12I,You have no desire to get involved Scale Input 5 Rig,,0.04919261921733843,0.34437256434002644,570,0.6294024351468344
YEAR 1,Q13,"In the past 12 months, have you volunteered or activ",,-0.005069981076110661,0.9581092761637126,569,0.9998167173243468
YEAR 1,Q14A,An American Scale Input 5 Right F40 F40,,0.022016661749741224,0.76674477633855,570,0.9307004092156331
YEAR 1,Q14B,A member of your local community Scale Input 5 Right,,-0.04953240034825769,0.5506409297961743,569,0.7784923490221775
YEAR 1,Q15A,Not being able to afford basic necessities like food,,-0.1969610551500766,0.04227103286546439,569,0.22605813228052696
YEAR 1,Q15B,Not having access to necessary healthcare Scale Inpu,,-0.10541225069950852,0.21259186885125955,569,0.5336489769123454
YEAR 1,Q15C,"Feeling targeted or excluded due to race, gender, di",,-0.23231670518950098,0.004827345471533049,569,0.0665307081170982
YEAR 1,Q16,How concerned are you about being affected by crime ,,0.1940598116776051,0.030558459127699063,570,0.19363778299240664
YEAR 1,Q18A,Religious or faith leaders Scale Input 5 Right F40 F,,-0.127608590250828,0.009192996249739611,566,0.08076703847985515
YEAR 1,Q18B,Business leaders Scale Input 5 Right F40 F40,,-0.0010414651101172678,0.9911925879303859,569,0.9998167173243468
YEAR 1,Q18C,Elected officials Scale Input 5 Right F40 F40,,0.12391939447545106,0.06685804907776852,567,0.32894160146262114
YEAR 1,Q18D,Education officials Scale Input 5 Right F40 F40,,-0.0166903759828241,0.8255214525083793,568,0.9607770879788123
YEAR 1,Q18E,"Family, friends, and/or neighbors Scale Input 5 Righ",,0.0005335523469846733,0.9951325186643442,569,0.9998167173243468
YEAR 1,Q20A,X (formerly Twitter) Scale Input 5 Right F40 F40,,-0.01082471428410113,0.91931403925741,568,0.9914505975828051
YEAR 1,Q20B,Facebook Scale Input 5 Right F40 F40,,-0.11812850181974076,0.30898168540991283,569,0.6161896052739235
YEAR 1,Q20C,Truth Social Scale Input 5 Right F40 F40,,-0.15938084076306505,0.0832597732837244,569,0.3481852987657772
YEAR 1,Q20D,Instagram Scale Input 5 Right F40 F40,,0.039651173041523026,0.6980840278954613,570,0.9038351098014921
YEAR 1,Q20E,Parler Scale Input 5 Right F40 F40,,-0.011026801049711162,0.7960432157781262,568,0.9506147139874711
YEAR 1,Q20F,TikTok Scale Input 5 Right F40 F40,,-0.1343613418307626,0.10217094878363736,569,0.3927195843871061
YEAR 1,Q20G,Rumble Scale Input 5 Right F40 F40,,-0.14331847932315403,0.53960125835629,568,0.7784923490221775
YEAR 1,Q20H,Gab Scale Input 5 Right F40 F40,,0.0017929242100029313,0.9291917245448728,570,0.9914505975828051
YEAR 1,Q20I,Discord Scale Input 5 Right F40 F40,,0.02973864112282762,0.6710330996998533,569,0.8874953899256124
YEAR 1,Q20J,Twitch Scale Input 5 Right F40 F40,,0.045244701104480256,0.5980823902314668,568,0.8083970769062683
YEAR 1,Q20K,YouTube Scale Input 5 Right F40 F40,,-0.19947441485232428,0.039900786208792186,569,0.22605813228052696
YEAR 1,Q20L,Snapchat Scale Input 5 Right F40 F40,,-0.032854917790306894,0.32069793478167136,565,0.6161896052739235
YEAR 1,Q20M,Reddit Scale Input 5 Right F40 F40,,0.08287842552566067,0.3147363926050982,568,0.6161896052739235
YEAR 1,Q20N,Bluesky Scale Input 5 Right F40 F40,,-0.12867279827507008,0.239170407355333,570,0.5883592020941192
YEAR 1,Q21,"On average, how much time PER DAY do you spend activ",,0.19101506186826417,0.0007820464227593609,569,0.024047927499850345
YEAR 1,Q22,The experiences and beliefs of people like me are va,,-0.09406339900245596,0.38470230618873036,570,0.6543244595137687
YEAR 1,Q23,How much power do ordinary citizens have to create c,,0.06275281756523735,0.45779583930686535,567,0.7312842627888888
YEAR 1,Q24A,Voting Scale Input 5 Right F40 F40,,-0.05278771731726818,0.5363580520457851,570,0.7784923490221775
YEAR 1,Q24B,"Contacting elected officials by letter, email, or ph",,-0.09644934264242666,0.31330735153218187,570,0.6161896052739235
YEAR 1,Q24C,Non-violent protests and demonstrations Scale Input ,,5.573981366146174e-05,0.43053210888168497,570,0.7156141809790169
YEAR 1,Q24D,Campaigning for political candidates or issues Scale,,0.03827500693525257,0.5715876754053218,568,0.7903738293030926
YEAR 1,Q24E,Donating money to candidates or causes Scale Input 5,,-0.006677311490763588,0.9181785772837324,569,0.9914505975828051
YEAR 1,Q24F,Attending town hall meetings Scale Input 5 Right F40,,-0.08923499778492469,0.2625810066337649,569,0.6093861097349638
YEAR 1,Q25,To what extent did you receive formal education abou,,-0.005408335227623922,0.9227523104745968,569,0.9914505975828051
YEAR 1,Q26,"Growing up, how much did your parents, relatives, or",,2.362952937257773e-05,0.9998167173243468,567,0.9998167173243468
YEAR 1,Q27,"If you had to choose, which one of the following wor",,-0.006382241457484353,0.9125100083598745,564,0.9914505975828051
YEAR 1,Q29,Whether or not you agree with current political lead,,-0.08489074744777114,0.273117639916792,563,0.6161896052739235
YEAR 1,Q30A,Democracy is the best form of government. Scale Inpu,,-0.018171586938736606,0.8469569139107977,567,0.9736046767385806
YEAR 1,Q30B,Most people in the U.S. are committed to having a st,,0.017815679290510658,0.8279867587459684,567,0.9607770879788123
YEAR 1,Q30C,U.S. political leaders are committed to having a str,,-0.061426707641435443,0.5288475643356515,567,0.7784923490221775
