var,label,n,b_hi_vs_none,p_hi,b_lo_vs_none,p_lo,hi_minus_lo,p_diff,q_hi,q_lo,q_diff
RACE_1,Which of the following describes your race? You can se,9080,1.8214596497756474e-17,0.9292529524798694,-6.071532165918825e-17,0.8251827185254175,7.892991815694472e-17,0.8181943061288841,0.9636697284976423,0.8557450414337663,0.964608024067737
Q1,Please imagine a ladder with steps numbered from zero ,12178,-0.14615469630425554,0.11552212043794,-0.2939410876782963,0.07158780981493429,0.14778639137404076,0.42876729696088267,0.2374684642943888,0.13459177677208117,0.8003656209936477
Q2,On which step do you think you will stand about five y,12181,-0.20699551882542283,0.022077633324715122,-0.4674561459278105,0.037297939741719695,0.26046062710238765,0.2796590843857607,0.054948776274846525,0.0835473850214521,0.7203540303378333
Q3,Which one of these phrases comes closest to your own f,12389,0.09826850701185261,0.3609553250006785,0.0801895901534093,0.6499812983099271,0.018078916858443303,0.9301750399321917,0.5182948256419999,0.7428357694970595,0.9734360521110671
Q4,How often do you feel lonely?,12370,0.021361060160413878,0.6780742719383348,0.264032928068549,0.00013925094668568733,-0.2426718679081351,0.004175201975317844,0.825481722359712,0.0008664503349331656,0.0935245242471197
Q5,About how many hours of free time do you have on a typ,11969,0.04600257278260415,0.5540182851491036,0.0021421027160674344,0.9863627338370523,0.04386047006653671,0.7637962856163583,0.7300005639611717,0.9943863492065509,0.9582640137096751
Q6,About how many hours of free time do you have on a typ,11984,0.09154808838803477,0.1485373353381584,0.26670340256027836,0.008810226895450822,-0.1751553141722436,0.13978791867194817,0.2970746706763168,0.025966984533960315,0.5620703596390764
Q7,"In the past week, on how many days did you have any di",7140,-0.19400590669638657,0.1698628804962119,0.3875461705138128,0.10102020844629785,-0.5815520772101994,0.03411007050951653,0.30522348858138276,0.15935582177444169,0.27288056407613226
Q8,How often do you feel overloaded by information?,12362,0.003874818155902505,0.9155578979611033,0.22862265512265073,0.31475899120714435,-0.22474783696674822,0.3280183531002634,0.95834097730508,0.4147412590023549,0.7203540303378333
Q9A,Housing,12388,-0.1597049751512693,0.027250965083599477,-0.24864788208941713,0.01746635003742195,0.08894290693814783,0.47912294097568053,0.06635017585572046,0.04445980009525587,0.8655124095044551
Q9B,Healthcare,12379,-0.241640816435243,0.020959862905522327,-0.5344291349294036,5.7132781063962325e-15,0.2927883184941606,0.01800267372647757,0.053352378304965926,1.5997178697909452e-13,0.22527190428645516
Q9C,Food,12392,-0.2333809880062152,0.00950867980802818,-0.31594025355294336,0.08718140018457324,0.08255926554672816,0.686312306317111,0.027306977910234773,0.14563996936838888,0.9327156866335095
Q9D,Schools,12330,-0.23403092508215467,1.209384170797988e-08,-0.1914310072214414,0.05599269584192176,-0.042599917860713266,0.6892048913650894,1.1287585594114556e-07,0.11402148971445886,0.9327156866335095
Q9E,Childcare,12302,-0.1464419333401717,0.20497264156419814,0.07247433557656643,0.7377132260673669,-0.21891626891673813,0.3714634675336279,0.3531836285413875,0.818058230886585,0.7704427474771541
Q10,"How often do you attend events in your community, such",12380,-0.12496448718238273,0.013328252097276524,-0.3332332129485027,0.040249061190168134,0.20826872576612,0.21813362716903084,0.036408883777926115,0.08704914085060057,0.6791751680303978
