var,label,n,b,p,q
Q1,Please imagine a ladder with steps numbered from zero at the,1245,-0.09257729544238227,0.0028566241499992516,0.012797676191996647
Q2,On which step do you think you will stand about five years f,1242,-0.08049489461347364,0.018397670139089852,0.05025705013605033
Q3,Which one of these phrases comes closest to your own feeling,1255,0.07226096799834858,0.05429064835922121,0.11922652188691718
Q4,How often do you feel lonely?,1253,0.03443717065112521,0.15128059536519242,0.26894328064923095
Q5,About how many hours of free time do you have on a typical w,1228,-0.05502694978943597,0.017265764797458616,0.04958373480295808
Q6,About how many hours of free time do you have on a typical w,1240,-0.06977808741695649,0.0049623993355729056,0.018526290852805515
Q8,How often do you feel overloaded by information?,1252,-0.021968135944515414,0.3108098580273001,0.45208706622152744
Q9A,Housing,1253,-0.05578625555310074,0.027677994194935687,0.07045307613256356
Q9B,Healthcare,1253,-0.0945533602149568,0.016058888894753702,0.04861069070844364
Q9C,Food,1255,-0.07248757815035878,0.023762515897181376,0.0618930646624259
Q9D,Schools,1252,-0.028283676466569298,0.2277421111704967,0.36966835436370477
Q9E,Childcare,1246,0.010069265512641454,0.7122311031799021,0.8223699335685467
Q10,"How often do you attend events in your community, such as fe",1253,-0.04430046493147426,0.22587507962299203,0.36966835436370477
Q11,How often do you see people in your community showing disres,1240,-0.008676871658771132,0.6732408826465155,0.7929068821826539
Q12A,Your physical or mental health,1256,-0.0034085311323836,0.8350252575604264,0.9200272487634769
Q12B,Your work or family obligations,1251,-0.04638578557787204,0.06614980506142971,0.13978826729962507
Q12C,You fear judgment or retaliation from others,1254,-0.04981595716987097,0.016576326624686694,0.04885654163065552
Q12D,You are unsure how to get involved,1254,-0.019551603375844922,0.383415479122713,0.5224968931613324
Q12E,You don't believe it will make a difference,1254,-0.0004501012331003078,0.9880084436619356,0.9980834452928163
Q12F,Not knowing enough about the issues,1253,0.06521708971010777,0.01963456885432807,0.05235885027820819
Q12G,You have not been invited or encouraged to participate,1253,0.02204151849378681,0.5666968476993077,0.7060651609385278
Q12H,Feeling unwelcome or out of place when participating,1251,-0.013779135094791397,0.6796344704422748,0.7929068821826539
Q12I,You have no desire to get involved,1253,0.013463540542498632,0.5101744074903355,0.649312882260427
Q13,"In the past 12 months, have you volunteered or actively part",1255,0.029964179475435317,0.36301036211517623,0.5019402537888856
Q14A,An American,1254,-0.1043938641295743,0.01781500256955797,0.049882007194762316
Q14B,A member of your local community,1256,-0.002155237462341083,0.9444181252606655,0.9895231339881964
Q15A,Not being able to afford basic necessities like food or hous,1253,-0.026111255348762116,0.49061437528334173,0.6315955176061411
Q15B,Not having access to necessary healthcare,1254,-0.06142332475577528,0.08132327825905199,0.16560376663661497
Q15C,"Feeling targeted or excluded due to race, gender, disability",1255,-0.030113089414353738,0.19642291420282543,0.33845179062640685
Q16,How concerned are you about being affected by crime or viole,1255,-0.03668246080162739,0.30708261415726323,0.45208706622152744
Q18A,Religious or faith leaders,1250,-0.0347200206146375,0.3967445519003958,0.5272965169804477
Q18B,Business leaders,1253,0.11622582368476429,0.0016284206242639949,0.009591046781059747
Q18C,Elected officials,1253,0.06376613807328235,0.00010412780071875333,0.001060210334590943
Q18D,Education officials,1254,0.0773859307559367,0.013809121991166042,0.044189190371731336
Q18E,"Family, friends, and/or neighbors",1255,0.06194314390465619,0.03719497609666325,0.0922045796939616
Q20A,X (formerly Twitter),1250,0.06205669851319866,0.0006727756440613803,0.004432404243227918
Q20B,Facebook,1251,0.05929289296246167,0.2687520572733041,0.43000329163728657
Q20C,Truth Social,1253,0.001975661011019459,0.9283578932295937,0.9895231339881964
Q20D,Instagram,1255,0.04461375143113187,0.10122840109374344,0.1989049284648994
Q20E,Parler,1251,0.07767841287085561,7.903638307163179e-06,9.835638782247511e-05
Q20F,TikTok,1250,-0.011510809127782046,0.8015003620504385,0.8976804054964911
Q20G,Rumble,1253,-0.08491564258166558,0.0017126869251892407,0.009591046781059747
Q20H,Gab,1254,0.06946766601841925,1.0649643492111671e-05,0.00011927600711165072
Q20I,Discord,1254,-0.029051228398927948,0.3191436598800732,0.45825756290472053
Q20J,Twitch,1251,0.03180486342427212,0.30311714023085545,0.45208706622152744
Q20K,YouTube,1253,-0.013867494963901791,0.8378819586953092,0.9200272487634769
Q20L,Snapchat,1250,0.10453117064853823,8.8452581793821e-07,1.6511148601513254e-05
Q20M,Reddit,1254,-0.019710473058400194,0.3872075190392017,0.5224968931613324
Q20N,Bluesky,1254,-0.05365830896877574,0.08787776704577341,0.17575553409154682
