chunk_id,show_name,q,text,is_political_YN,ideology_label
7f5fc173b1ceb676_41,Breaking Points with Krystal and Saagar,2025Q4,"And so now, even if Trump wanted to go in a different direction, he can't. And he doesn't really care. I mean, he basically, when he took in all this money from the tech guys, he basically sold this part of the administration to them. They've made him fabulously wealthy through his crypto shit coins and all of the deals that he's been striking as well. So I don't think he has any interest in backing away from it. Meanwhile, at the grassroots level, you have this burgeoning revolt. And Steve Bannon has been talking about this from the beginning, even during the early days with Elon Musk. He had some concerns about that.",,
ae808a42d8c63c5f_71,Pod Save America,2021Q2,"But one of the narratives that came out of it that was pushed by a lot of moderate Democrats is Democrats down below, particularly in the House, did less well than they thought they would because they were labeled with this defund the police attack from the Republicans. And I think what happened. The danger in a situation like this politically is for Democrats to be too scared to talk about what they are for. And there's nothing the Republicans and the right-wing media machine likes more than a vacuum. And if we don't talk about what our plans are, they're going to give them the most malicious and false sort of label on them. And we have to be bold about what we were for and talk about, because I think we have certainly a moral obligation.",,
222e1471729ae2dd_11,Mark Kaye Saves The Republic,2024Q3,"And, you know, you you first came on my radar because I read an article about you that would turn out to be fake news. You you kind of sort of. playfully said, Hey Mike, don't believe everything you read. You should have asked me first. And, and, and of course I was getting bombarded with Mark K fans who were texting me and emailing me and calling me. So don't ever sell yourself short, my friend, you've got a huge following in America. And I, after, you know, watching you work and of course, knowing your work. I know why. So you keep fighting the good fight because you're one of the best in the business. Oh, I appreciate that. Thank you so much. Well, listen, I'm glad you took the time.",,
47541c4cffd85b84_15,The Briefing with Jen Psaki,2023Q3,"They are telling us today, this is our anti-Trump, anti-MAGA message for the 2024 reelect. No question today's Republican Party is driven and intimidated by extremists. And if their agenda is carried out, it will fundamentally alter institutions of American democracy as we know it. You may say, oh, that seems a little esoteric for voters. No, it's not, because we saw in 22 that they will turn out with that message. So like general election does kind of feel like it's underway. All right, Claire, we have a big guest coming up after the break, former White House Chief of Staff Ron Klain. He has led debate prep for Obama, Hillary, Biden.",,
47541c4cffd85b84_32,The Briefing with Jen Psaki,2023Q3,"And I think there are great surrogates out there on the road speaking on behalf of the president. More, please. More. I want more. We want Ron. Always more. When I look at the polls, Ron, some people are saying the president, he himself, needs to be attacking Trump more. And I see an education opportunity still, particularly with young people who are unenthusiastic right now, but also very worried about things, telling them what the president has accomplished. I see an opportunity with voters of color who, again, are lacking in enthusiasm, but also want more problems to be solved. And it turns out Joe Biden has solved a lot of problems.",,
22da7d6496430201_5,Renegade Talk Radio,2025Q3,"In other words, a lot of these nonprofits are ancillary, if you will. That's a nice way of saying it. And you urge people, our viewers, they can go on the fire aid website. And yes, in terms of if you're fire aid, you can say we have listed all the nonprofits. So they've given out $75 million so far. And you can see for yourself each nonprofit that has received money. The vetting process, though. That's an interesting angle to this story as well, because there's still another round of funding that will be given out. If you're a nonprofit, you would just have to fill out a simple, very simple questionnaire. Six questions. Six questions. So what do you make of the vetting process? I think they're not helping the victims at all.",,
22da7d6496430201_40,Renegade Talk Radio,2025Q3,"Like those children at camp in particular, what adults decide to do to risk themselves is up to them as adults. But when you've got kids in a camp, parents are trusting that camp, keep their kids safe, and they're trusting the local officials to do the same. And so they all need to coordinate so that when there's, like on July 2nd, apparently, according to the firefighters of Austin, when an alert comes down from the state of a possible flooding next few days, the camp should evacuate at that point. You should say, sorry, kids, we can't sleep down here. We're going to move you up to the high school gym or whatever they want to do. Figure out a protocol so that they're not down there at risk.",,
7f5fc173b1ceb676_79,Breaking Points with Krystal and Saagar,2025Q4,"They probably would have. Yeah, exactly. Which is exactly why they get treated like potted plants because they act like them. Yeah. I like it. When I was 14 years old, I was kidnapped and held captive for nine months. I survived and I've spent my life exploring how other people survive what should have destroyed them. I'm Elizabeth Smart. And these are the Survivor Files. I just remember this low, taunting voice next to my ear saying, shut up, don't say anything. Every week, I'm with survivors who live through the unthinkable. I knew if he woke up, without a doubt, he was going to hurt me. I started feeling that there was someone at the end of my bed, and I just started screaming. They are abducted, stalked, controlled, and nearly silenced.",,
5eea25f60b0fc686_30,Scott Horton Show - Just the Interviews,2023Q2,"You got some kind of Yemen campaign that's still going on that people can get involved because it's not over yet. We don't want to get too satisfied here. So let's end with what kind of activism you're doing and other people can get involved in here and how they can get involved. Yeah, well, I think definitely continue to follow your Twitter page. You're always on top of it. Also, you know, we're at Just, you know, handle is JustFP for Just Foreign Policy and we'll keep updates. You know, with the talks ongoing, we're sort of in a wait and see mode. You know, so I think, you know, but the basic focus is, you know.",,
473434a4cf1c2dff_26,Bulwark Takes,2026Q2,"Problem is, as the piece goes on, Atlantic Industrial Coatings does not appear to advertise an expertise in painting swimming pools. The company's website specializes in waterproofing highway culverts, pipes, roofs, and chemical and water storage tanks. The site does not mention swimming pools at Trump golf clubs or anywhere else. So it looks like we just found these guys somehow. I'm eager for the follow-up reporting on this. Well, they have a pretty badass logo. I don't know. Can we show the picture where it's kind of the overhead shot? I think it's maybe the next one in the slideshow. This one, yeah. Oh, yeah, down left. Look at this badass.",,
