outcome,wording,b_addr,p_addr,b_addr_net,p_addr_net,b_inten_net,p_inten_net,N,q_addr_net,q_addr,q_inten_net
Q1,Please imagine a ladder with steps numbered from,-0.057715311790014864,0.2890623383220864,0.030838411321765936,0.5874781652449328,-0.2514435287632257,0.00014618204594175563,627,0.959884630214311,0.5801392879705201,0.004093097286369158
Q2,On which step do you think you will stand about ,-0.020989657959099774,0.7009760694277245,0.02973682781134826,0.6213827639961075,-0.1394204219780186,0.03435068116585509,629,0.959884630214311,0.872325775287835,0.2716362818214643
Q3,Which one of these phrases comes closest to your,0.1676531030757359,0.03831632982732242,0.06337916772578567,0.3177845953147326,0.35953183079720263,0.00010341898489982559,628,0.959884630214311,0.5411389085532421,0.004093097286369158
Q10,How often do you attend events in your community,-0.03762447397037555,0.31078890426992145,-0.017875601122516002,0.6511124854408373,-0.0722645042905029,0.3214599597889187,628,0.959884630214311,0.5801392879705201,0.6000585916059816
Q14B,A member of your local community,0.0256838804259545,0.57159373974667,0.03137400799418499,0.5741782200859247,0.001553487268273892,0.9818465596036653,628,0.959884630214311,0.8423486691003558,0.9818465596036653
Q18A,Religious or faith leaders,-0.07523614325734809,0.1505500966839513,-0.023258515089712946,0.6216419031906478,-0.176371400427438,0.05048631548883905,624,0.959884630214311,0.5411389085532421,0.2716362818214643
Q18D,Education officials,-0.030890837484213146,0.6199867538605712,-0.015940379595687282,0.7823202656563225,-0.05622868951949995,0.4618118022597158,627,0.959884630214311,0.864159492096748,0.6694860254244219
Q21,"On average, how much time PER DAY do you spend a",0.12714781722244134,0.0382816631529527,0.07115807997512623,0.20407059610148395,0.21831408308472022,0.003824320343231819,625,0.8162823844059358,0.5411389085532421,0.07138731307366063
Q22,The experiences and beliefs of people like me ar,-0.03415846773381209,0.6145639288705698,-0.0071223068562109824,0.9313960802106771,-0.08836512774678282,0.19329887357612716,629,0.9713715650448079,0.864159492096748,0.40091618223196746
Q23,How much power do ordinary citizens have to crea,-0.05494808216132137,0.5016154668176775,-0.08589725997011696,0.3157795978231992,0.04378214408561733,0.7198589836065192,627,0.959884630214311,0.8201663785057272,0.8398354808742725
Q27,"If you had to choose, which one of the following",-0.05940579847952774,0.21475216500091127,-0.08832182924461002,0.08140513013836,0.03627825818880288,0.4665672979983491,626,0.669129659470932,0.5466418745477741,0.6694860254244219
Q29,Whether or not you agree with current political ,0.006659804946889275,0.8443205564518813,0.002222385644418419,0.9521768374996473,0.015269726909103765,0.8309295811584321,621,0.9713715650448079,0.9092682915635645,0.8779633310353245
Q30A,Democracy is the best form of government.,0.10780400181383802,0.09001122425068497,0.10926538164901221,0.13738694842071783,0.061684858483899166,0.47820430387458707,626,0.6994244646872908,0.5411389085532421,0.6694860254244219
Q30B,Most people in the U.S. are committed to having ,0.08261279416568208,0.13768328125955873,0.05688597547323571,0.3287901495065622,0.11490713308220563,0.09984744179801082,625,0.959884630214311,0.5411389085532421,0.3063993834919006
Q30C,U.S. political leaders are committed to having a,0.07836431496248719,0.2364203605721855,0.09838844085498638,0.1685521849931595,-0.002969688456954743,0.9647638536067722,626,0.7260709507397639,0.5516475080017662,0.9818465596036653
Q31,I trust that U.S. political leaders will be held,0.12955967583352726,0.022119203984921138,0.09794624438540138,0.04990866589164852,0.15845430524129514,0.09840600677138,625,0.669129659470932,0.5411389085532421,0.3063993834919006
Q32C,It is reasonable to assume that people who overs,0.06949201833930423,0.27390560069550135,0.017593254459208476,0.764835653466196,0.17199764699904968,0.012630868840161208,627,0.959884630214311,0.5801392879705201,0.1768321637622569
Q32H,The economic differences between the rich and po,0.060375610675767036,0.18202208166544684,0.012761623821821423,0.7404975129341874,0.1566583649110284,0.05820777467602807,628,0.959884630214311,0.5411389085532421,0.2716362818214643
Q33A,The Supreme Court and judicial branch,-0.025512625377307384,0.6326881995708333,0.0280866244543774,0.6374765234370507,-0.15043398024044347,0.05507073038826374,627,0.959884630214311,0.864159492096748,0.2716362818214643
Q33B,Congress and the legislative branch,0.06446910406851489,0.12922008122713646,0.07475091288698824,0.09970515067171937,0.013516730504876544,0.8039805663690699,627,0.669129659470932,0.5411389085532421,0.8658252253205367
Q33C,The presidency and executive branch,0.06445143773094329,0.17920878163694048,0.024329473417260095,0.6724873104052371,0.14120810001768747,0.13337100352618142,627,0.959884630214311,0.5411389085532421,0.35565600940315045
Q33D,The peoples role in the democratic process,0.0741075165244888,0.1986082298643415,0.06446880100068639,0.29043801635786376,0.0694090661046277,0.3994772733840322,628,0.959884630214311,0.5411389085532421,0.6317144311709384
